context,question,answer,label,index1
A tailor uses a long pole to search for a certain piece of fabric suspended above him .,Who uses something?,love,no,1816
Two women share gossip while waiting for a bus .,What is someone waiting for?,response,no,334
a man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water .,What is framed?,eyes,no,1192
A after fertilizing his garden with manure with a horse and wagon .,Who is fertilizing something?,A farmer,no,1871
Three black women in different uniforms run at varying paces at a racetrack .,Who runs?,Three black runners,no,4253
Lab technicians are working on a project and teaching the new tech the procedures of the project .,Who is working on something?,they,no,3638
Yong man with cellphone and goatee holding sign sign,Who is being held?,Obama,no,1985
Three firefighters work to put out a blaze .,What does someone work to do?,fire,no,4352
"There is a marching band , the man closet to the camera is wearing red and is playing the drums .",Where is someone closeted?,right,no,3620
The woman in the tan suit is speaking at the office .,What is someone speaking at?,the pedestal,no,2115
"A male wearing a strange helmet covering face and body is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",What is being covered?,face and head,no,2435
Causal orchestra members play in a church sanctuary as the stain glass window and elegant columns stand boldly behind them .,What stands somewhere?,design,no,2208
A mailman with a rolling mailbag smiling at the people in front of a wall topped with an iron decorative fence .,Where was someone smiling?,at the camera,no,863
would dressed up in black and brown and holding a white light saber .,Who was dressed?,Man,no,1243
A white and brown dog is pooping whist attached to bark by a tree .,What is something attached to?,leash,no,1791
Three construction workers stand over a job site wearing ragged and tattered clothing while a man and woman pass behind them and a large pill of dirt and debris sit in front .,What sits somewhere?,people,no,504
Looks like everyone is getting good gas mileage here with all these beautiful scooters !,Who is getting something?,everybody,no,944
A group of men wearing old military uniforms are standing in formation while they demonstrate the use of their rifles to a group of onlookers on a city street .,Who demonstrates something?,students,no,684
Jewish rabbi and young people reading in a church,Who is reading?,Jewish rabbi and young boy,no,4373
"Several people dressed in blue , one is twirling a hand",What is someone twirling?,a ribbon,no,1427
"A man with a white shirt and pants wearing a black and white hat in front of a fire hydrant leaning against a white truck that says Caution - Children , Good Humor .",What does something say?,people,no,1696
"Three people , one with a black shirt , one with a navy blue jacket , and one with a red t - shirt , working in an office with a large messy bookshelf .",Where is someone working?,hour,no,994
An woman wearing headphones is sitting on a subway wearing a blue face suit while three men also wearing the masks to prevent germs look back in her direction .,What is someone wearing?,a blue face mask,no,2305
A man in a white shirt and black jean with a ponytail juggles balls as a bicycle leans against the wall with what looks like the belonging of someone homeless .,What does something lean on?,door,no,1782
a midget jumps over another midget .,What jumps?,midget,yes,1724
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap , read T - shirt , and blue lightweight jacket .",Who is approached somewhere?,The motorist,yes,3703
We see a shot of a Korean historical drama with a man in bright red and yellow costume is in the foreground .,Who sees something?,example,no,740
"An Asian band , whose guitarist is shown near the right and those drummer is shown on the left , plays in a venue lit with blue rope lightning and a reddish cattle skull wall ##ing .",What is skulled?,wall fixture,no,3577
"An elderly oriental looking woman , in a black jacket with flower print , is holding up a smiling baby in a brown hooded outfit with flower print .",How is someone holding up something?,logo,no,342
"Three dogs run through surf , near rocky outcrop .",Where does something run?,water,no,1134
The brown dog bounds through the leaves and the underbrush .,Where does something bound?,underbrush,yes,1118
A woman walks hand - in - hand with a little girl who looks like he 's pulling out a wedgie,Who is pulling up something?,a little boy,no,435
A man in a thick blue winter jacket shoveling snow in a winter blizzard .,Who is shoveling something?,someone,no,2804
A young lady in her early twenties is sweeping the floor of her kitchen and smiling at the camera .,When is someone sweeping something?,thirties,no,1684
"Two young adults at a rodeo , one is helping the other to fix an injury to his arm after a brief time .",When is someone fixing something?,after a brief ride,no,2639
A photo taken in a sepia setting with a man walking towards the wall along a cobble road lined with parked cars .,Where was someone walking?,towards the camera,no,2857
A man without a shirt runs through water spraying out of a large silver door .,Where is something spraying?,out of a large silver dome,no,1161
Woman smiling outside of them surrounded by fake flamingos in the snow during winter .,What is surrounded?,tent,no,2193
A man is describing stuff using chalk on a chalkboard .,What is using something?,them,no,2168
An African American girl who had just received a doll from a family who adopted them from the states .,Who did someone adopt?,her,no,1599
"A young boy , dressed in a karate gee and wearing a yellow belt , stands ready to defend himself inside a gym .",Who stands?,girl,no,1040
A man squatted on a rooftop cleans the rain gutters with a hose .,Who cleans something?,they,no,2734
A young man is gaining power to hit a punching bag as his peers watch from behind them .,What does someone watch from?,behind him,no,2431
"A paraplegic ( with prosthetics ) wearing a finish line banner , is walking next to a middle - aged man wearing a yellow t - shirt shirt .",Who is wearing something?,person,no,836
Girl in black jacket sifting powdered sugar over a chocolate cake .,Where is something being sifted?,hand,no,908
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",Where does something cast something?,balustrade,yes,2894
A protest travels down the street in hopes of freeing them .,Why does something travel somewhere?,in hopes of freeing Gaza,no,3023
"Man in blue jack , sleeping or passed ##over on a red public bench .",How was someone passed?,out,no,2819
"Under sunny skies , a worker helps in the framing of new building .",Where does someone help something?,york,no,3598
A girl standing among a crowd gathered outdoors with the flag of Western Sahara and a white banner with inscription in the background .,Who gathered?,group,no,4318
People are at an outdoor shopping center walking and looking at merchandise .,Where is someone looking?,at an outdoor shopping bazaar,no,2445
A runner slides into second base while the shortstop waits for the ball,Who waits for something?,team,no,2318
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window .,Who walks into something?,dress,no,918
A they holding a green bad taking a picture of another woman on a bridge .,Who is holding something?,A woman,no,3311
A little girl in a yellow shirt holding a big snail .,Who is holding something?,kids,no,3480
"A man in an aqua colored shirt , a sailor , a young boy wearing a red shirt and some other people tug on ropes while standing on a ship 's ship .",When does someone tug on something?,while standing on a ship 's deck,no,627
A brown - haired woman wearing spectacles crafts jewelery by hand using a desk lamp .,What did someone wear?,spectacles,yes,3774
A lady adventurer with snowshoes is taking a break in a snow covered area and checking her phone .,Who is taking something?,someone,no,3628
"Several young people adults sit around while a middle - eastern band prepares to play keyboard , drums , violin and a mandolin .",When does someone sit somewhere?,horn,no,488
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .,Who takes something?,boys,no,932
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk .,What is someone holding?,people,no,1288
Ruggers are competing in a fierce game of their,How is someone competing?,in a fierce game of rugby,no,1891
"A young boy , dressed in a karate gee and wearing a yellow belt , stands ready to defend himself inside a building .",Where is someone being defended?,inside a gym,no,1045
"His they filled with joyous expectation , a skier prepares for a jump .",What is filled with something?,His eyes,no,4175
A group of people of mixed ages sit on a bus that features red headrests .,What features something?,table,no,2770
"A another rests on a loveseat , while a man lies on a nearby sofa .",What rests?,A dog,no,2539
A group of young adults taking a break from boating .,What does someone take?,step,no,1662
A man enjoys a distant moon sinking over the ocean .,What does someone enjoy?,a distant rainbow,no,2109
Two men are studying them over a partially built reed aircraft mounted on sawhorses .,What is someone studying?,plans,no,773
A fancily dressed elderly man plays a baritone as it is set aflame .,How is something set?,aflame,yes,3723
A tailor uses a long pole to search for a certain piece of fabric suspended above him .,What does someone search for?,time,no,1820
Three people walking through a ravine between two rocky cliffs .,Where was someone walking?,door,no,70
A group of older people are sitting in a pub playing various instruments .,Who is sitting somewhere?,students,no,826
"An Asian band , whose guitarist is shown near the right and those drummer is shown on the left , plays in a venue lit with blue rope lightning and a reddish cattle skull wall fixture .",Who is shown somewhere?,guitarist,no,3570
A painter is sitting at a street cafe and has completed the majority of a painting of the Cafe across the street from himself .,Where is someone sitting?,at a street corner,no,2601
Two comedians performing a song .,What is someone performing?,a routine,no,2535
A young girl wearing a purple shirt does the limbo in a gymnasium .,Who is wearing something?,A young man,no,2487
a man with long bangs pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water .,What is pulled into something?,a man with long hair,no,1189
"A black woman wearing a "" your daily cup "" t - shirt and making espresso .",Who wore something?,people,no,1632
"A man , whose face is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",How is something obstructed?,lampshade,yes,1548
a man sits on a bench listing to his iPod,Who sits somewhere?,from,no,2374
"An Asian man wearing a graphic T - shirt that says "" Music is the weapon of the future "" and an Asian woman in a gray hoodie with hoop earrings sit on a bench and eat a meal of noodles and shrimp from styrofoam plates",What does someone sit on?,table,no,4334
An elderly woman places carrots into a casserole .,What does someone place something into?,casserole,yes,968
a man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water .,Where does something stand?,table,no,1194
An woman wearing headphones is sitting on a subway wearing a blue face mask while three men also wearing the masks to prevent germs look back in her direction .,What did someone wear?,device,no,2308
Several uniformed people carrying firearms and wearing white gloves are lined up in ranks and standing at attention .,What is someone standing at?,them,no,2078
A woman plays the harpsichord while a man plays the recorder .,What does someone play?,violin,no,2262
An Asian girl is at a hair salon getting a shampoo from an Asian hair stylist .,Who is getting something?,An Asian man,no,1471
A worker dressed in orange pants sprays off an ocean side road with high pressure water .,What was someone dressed in?,orange overall,no,4297
Two young male hikers using a map and compass to find their direction in the woods .,Who used something?,Two young male hikers,yes,979
"A very young adorable baby who has a long - sleeve shirt on that says i am the world , is crying and upset .",What does someone say?,i am the boss,no,3601
A young man loses his balance on a stepladder as three others stand around in various poses .,How does someone stand somewhere?,ways,no,3468
"Three people , two males and a female , work in shallow dug out pits during an archaeological event .",When is someone dug somewhere?,during an archaeological excavation,no,4145
"Two young adults at a rodeo , one is helping the other to fix an injury to his back after a brief ride .",Why is someone helping someone?,to fix an injury to his arm,no,2635
A man hunts for treasure on the island using his metal detector .,Where is someone using something?,on the beach,no,151
Young boy getting into a box of trivial ##es .,What was someone getting into?,into a box of trivial pursuit,no,359
A woman with an orange shirt is holding a table with ice cream and ice cream cones on it .,What is someone holding?,a trey,no,1795
"A child standing on a chair to shove his face into a fire by a river , his negligent father watches on in bemusement .",How is something shoved?,by a candle,no,1419
A someone in a yellow shirt is eating pizza .,Who is eating something?,A boy,no,3031
A woman sits hidden in the dried stray awaiting an animal in the wild .,Who sits somewhere?,that,no,2570
A brown dog is lying on a grassy field as the wind blows through his eyes .,Where does something blow?,through his fur,no,211
"A fisherman cutting bait aboard his boat , which is moored at the dock , while pelicans swim nearby .",Where does someone swim?,together,no,3618
A boy stands overlooking a schoolyard where other people play .,Who plays?,other children,no,1369
"the alleyway of an urban city , the citizens going about their day .",What is someone going about?,business,no,4304
A white and brown dog is pooping whist attached to leash by a hand .,What is something attached with?,a tree,no,1793
"A craftsmen sits , gazing intently at his work as he hammers a chisel at his work in order to carve small details onto the image .",Why does someone hammer something?,in order to carve small details onto the statue,no,3995
A young boy in a red shirt and ball cap is participating in an Easter Egg game and has found numerous eggs all in one area that he 's picking up .,What is someone participating in?,an Easter Egg hunt,no,4001
A sportswoman is raising her arm to answer a question .,Who answers something?,sportswoman,yes,1446
"Four women , two wsometh i d badges .",Who d something?,i,no,2089
The dirty vehicle is caught in a flood .,What is caught in something?,girl,no,1334
"A smiling , bare chested Oriental man wearing gray pants holds a sharp weapon against his chest in a disturbing portrayal of the last moments before he will commit suicide .",What does something hold?,a sharp object,no,4127
A vibrant tracker hikes through a scenic lake .,Where does something hike?,through a scenic trail,no,889
"Two men in life jackets , in a rubber raft powered by an engine , are traveling at high speed on the water with wind turbines on the distant shore .",How is something powered?,automobile,no,3666
"Three people are in an alley with a dumpster , one skateboarding over the dumpster while the other two look on .",What is someone skateboarding into?,the dumpster,yes,2323
A plat is sitting on the floor next to a blond woman .,When is something sitting somewhere?,next to a blond girl,no,651
A while reading and evaluating the nation 's stocks .,Who is evaluating something?,A man,no,1841
A dentist 's office ; two dentists in blue uniform are working on a patient 's mouth .,What is someone working on?,problem,no,1442
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is returning?,children,no,2716
A person is using a dropper to disperse colored liquid into a clear beverage .,What is someone using?,a dropper,yes,3957
A young boy in a blue dress examining a baby crocodile while at the zoo .,Who examined something?,A young boy in a blue shirt,no,1329
A young woman leads a group of French youth in a protest chant against Sarkozy,Who does someone lead?,women,no,1174
A female barista making a latte .,Who makes something?,A female barista,yes,2877
A group of them are changing in the dressing rom .,Who is changing?,A group of girls,no,79
kid eating pasta,What is someone being kidded to do?,food,no,1644
"A craftsmen sits , gazing intently at his work as he hammers a chisel at his work in order to carve small details onto the statue .",Where is something being carved?,image,no,3998
A man on a horse swings a lasso .,What does someone swing?,lasso,yes,3348
A peephole looking through at a man in a blue jumpsuit working,What is working?,jumpsuit,yes,632
A woman in a green shirt is working on a horse 's hoof .,What is someone working on?,a horse 's hoof,yes,961
Two weary looking like in a boxing match both have one glove under their chin and the other touching the other man 's head .,Who is looking?,men,no,3017
"An amateur astronomer looks into the eyepiece of a large telescope set up in a field next to its carrying case , while another person overviews the telescope itself .",Who overviews something?,another one,no,3855
Woman with yellow button up shirt and jeans is making beautiful pottery etchings into one of her works of art .,Who is making something?,that,no,4060
a man teaching a class about folic acid,Who is teaching something?,after,no,2558
they march in their olive drab uniforms carrying weapons from the WWII era .,Who is carrying something?,Soldiers,no,447
Businesswoothers and man speaking together in front of awaiting army personnel .,Who is awaiting someone?,Businesswoman and man,no,257
Women dress in a blue shirt standing next to a man holding a pitchfork he used to spread the hay just as the crowd looks on .,What did someone use something to do?,spread the hay around,no,323
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",What is someone manned in?,hair,no,282
A child is riding a mountain bike as he passes by an ornamental wall .,What does someone pass by?,an ornamental gateway,no,3061
A young man wearing all great is filling a cooler up with an assortment of foods .,What is someone filling something with?,them,no,2514
Three military males are watching a female wearing a red sports shirt attempt to do a push up .,What is someone watching?,dress,no,3582
Many people gather to watch a new invention .,Who watches something?,they,no,2814
One young boy is holding a plastic sward with another young boy is holding a stick outside .,Who is someone holding something for?,girl,no,1460
A bowler winding up for the toss .,Who is winding?,then,no,1046
A native girl in a green shirt readies a slingshot .,What does someone ready?,a slingshot,yes,1371
Three young girls play wrestling and laugh a little .,How does someone laugh?,a lot,no,3461
A young man in an orange vest holding a hand displays a dead bird that he shot .,What displays something?,A young man in an orange vest holding a shotgun,no,1989
A group of women converse with one another as they work in a rice mill .,Where does someone work?,in a rice paddy,no,1971
An Asian couple walks in the shopping district .,Who walks somewhere?,group,no,940
People walking along a river near a beautiful homestead .,Where is someone walking?,walk,no,4
A woman wearing chef clothing stands there displaying intricately carved fruit- one a watermelon carved into flowers and the other a pineapple with geometric shapes .,How is someone displaying something?,proudly,no,3765
A grocery store checkout where a checker is counting out change .,Who is counting up something?,a checker,yes,2729
"A man , whose body is obstructed by a lampshade , is sitting next to a bar with drinks , and a mannequin stands nearby .",What is obstructed?,face,no,1547
Soldiers march carrying bayoverets while a crowd looks on .,When is something being carried?,while a crowd looks on,no,311
"A they stands in front of an easel , on which is painted the young woman standing in front of the ocean with a parasol .",Who is painted?,A man,no,539
People trying out away from a local bakery at a local potluck .,What is being tried?,foods,no,3105
"Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .",Where is someone facing?,them,no,284
Two men on rollerskates are facing one another as others are passing them or coming upon them as an officer watches their interaction .,Who watches something?,an audience,no,3821
"A tourist walks down the street , camera in hand , trying to find something worthy of a photo .",Who is trying to do something?,that,no,4358
"The they is in the kitchen cleaning , she has her cleaning clothes on .",Who is cleaning?,The mother,no,1311
"A man playing scrabble with carrots , celery , onions , limes , apples and cauliflower in the pictures while his opponent has rocks spelled out on his tray .",What is someone playing?,cauliflower,yes,1534
A hippie is making two cappuccinos .,What is someone making?,two cappuccinos,yes,2583
A young girl is using a hammer to spell out something on a thin sheet of metal with engraved bolts .,Who spells up something?,A young boy,no,4079
A woman holding a green bad taking a picture of another woman on a bridge .,What is being taken?,part,no,3314
"A middle - aged woman with a young , edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board .",What is being cut?,shallots,yes,4203
Two kids discuss their woes around the dinner party .,Where does someone discuss something?,around the dinner table,no,3937
A young male demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,Who is demonstrating something?,A young man,no,5
A mam is pulling up leaves and dirt from along side a building with a blower .,How is something being pulled?,blower,yes,3110
"A man smiles , while clinking ale bottles , with an unseen person , at a public venue .",Where is someone clinking something?,at a public establishment,no,245
"Man and woman and others , with scary , gory makeup and holding fake brain walking down the street .",What is being held?,hands,no,3192
Staff and youth sitting on the wall crafting posters .,What is someone sitting on?,the floor,no,367
A constructor driving a hoist .,Who is driving something?,constructor,yes,3300
"A baseball pitcher pitches a fastball to an on - looking batter , catcher , and player .",Where does someone pitch something?,"to an on - looking batter , catcher , and Umpire",no,3833
Women dress in a blue shirt standing next to a man holding a hand he used to spread the hay around as the crowd looks on .,What did someone use?,a pitchfork,no,321
Two men are studying plans over a partially built reed aircraft mounted on sawhorses .,What is something mounted on?,sawhorses,yes,777
A from in a convenience store asks a customer buying alcohol for his age and identification .,Who asks someone something?,A clerk,no,2925
"Race car flies by , in the lead of the pack , closely followed by second and third places !",What flies?,what,no,4032
"Bizarre live art exhibit with goddess type woman , man strapped to dolly , and hairy man in suit .",Who is strapped to something?,being,no,2584
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,What was set?,sepia,yes,2855
A caucasian women wearing a short - sleeved black shirt and a dark - skinned woman wearing a sleeveless dress are working at a conveyor .,Who is working?,A caucasian man,no,913
"Six people tend to various chores and responsibilities on board a sailing ship while it 's docked in a harbor ; while three of the characters appear to be dressed in normal clothes like jeans and plain or striped shirts , the other two men and the woman are dressed as pirate characters .",Who is dressed?,three of the men,no,3551
"A man in a crowd holds a card that says "" Those who blame Israel are hypocrites . """,What does someone hold?,a sign,no,2061
"Four asian children , three girls and one boy , sit behind a volcano diorama .",Who sits somewhere?,women,no,2794
people wearing hard hats and face masks process waste .,Who is wearing something?,Workers,no,1407
"A working man is burning logs , he is wearing a hat and white shirt .",What is someone wearing?,a hat and white uniform,no,637
"A man is sitting on a bannister on a side holding a bunch of colorful balloons , while more balloons tied to the bannister behind him blow in the wind .",Where is something being held?,on a pier,no,3801
One young boy is holding a plastic sward with another young boy is holding a stick outside .,What is someone holding?,door,no,1462
A people wearing a babushka is sitting and sleeping inside a flower shop .,Who is sitting?,A woman,no,1203
A woman walking by two cardboard cowboy gunslingers outside of a building with Dave written on it .,What was something written on?,them,no,250
A this is being used in the construction or destruction of a building along with a worker spraying water at the building .,What is used?,A crane,no,3197
A they is holding a cleanser in front of an oven .,Who is holding something?,A child,no,1013
A young girl dancing Brazilian music started after Brazil soccer national team had won the Fifa World Cup .,What was someone dancing?,Brazilian music Samba,no,1879
"A person with gray eyes , dressed entirely in gray , lies on the wooden slats of a park bench .",Who lies somewhere?,A person with gray hair,no,1939
A man in a brown shirt standing behind a bar pouring a drink from a metal shaker .,What is something being poured from?,a metal shaker,yes,4021
a dirty looking people standing in front of an overfilled red grocery chart,Who is standing somewhere?,a dirty looking man,no,2387
"An aerial view is on the top of two women , one older , one younger , who seem to be making something to eat at a public showcase .",Where is someone making something?,market,no,1082
Someone working on a project using a jigsaw cutting machine .,What is someone working on?,computer,no,954
"Three ballerinas perform an arabesque on stage , while another participant looks on .",What does someone perform?,an arabesque,yes,2369
Three military males are watching a female wearing a red sports dress attempt to do a push up .,What does someone wear?,a red sports shirt,no,3585
A man sitting there at a bus stop with a Calvin Klein ad behind him .,How was someone sitting?,down,no,3097
A from in coveralls is maintaining a locomotive .,Who is maintaining something?,A man,no,1809
A woman with short hair listens to her iPod sitting along a wall .,What is sitting?,while,no,3360
without eating pasta,Who is eating something?,kid,no,1645
A girl is performing karate in front of people .,What is someone performing?,music,no,4306
A man empties a bag of white crystals into a swimming bath .,Where does someone empty something?,into a swimming pool,no,351
Muay thai fighters competing in a ring .,Where is someone competing?,match,no,3880
A toddler wearing an Elmo t - shirt is standing in Santa 's sleigh .,Who is wearing something?,A toddler,yes,175
Hundreds of people walking on a very busy building with stars hanging from buildings .,Where was someone walking?,on a very busy street,no,1347
like at party receiving beer pillow gift .,Who is receiving something?,Man,no,1353
"U.S. Marine dressing up a small child in flak and kevlar , showing them how to aim .",Who shows something?,version,no,4214
People stand along the sidewalk watching a bus come their way .,What comes?,building,no,2556
"A someone on horseback pulls back sharply on the reins while holding a coil of rope , as he waits to come out of a chute in a rodeo competition .",Who is holding something?,A man,no,3337
"People are bathing in water , possibly for religious purposes .",Why is someone bathing somewhere?,for religious reasons,no,3591
A sergeant leads his team in formation inside a large room with lots of flags in the background .,Who does someone lead?,his troops,no,3493
A chef in a red apron and white hat is carving meat from a building .,What is something carved from?,a spit,no,3637
Soldiers march carrying bayonets while a crowd looks on .,Who marches?,they,no,306
A people holding a baby and an older child admire a birthday cake with candles .,Who is holding something?,A man,no,2517
A blond girl in a yellow shirt lifts up her arm ands furrows her brow .,Who furrows something?,A blond woman,no,303
"A black when wearing clothes popular in the late 60 's , has a left handed Fender Stratocaster , strapped on .",Who was wearing something?,A black man,no,3113
Overlooking a street with a sign above shops that states Welcome To Golden .,What does something state?,london,no,3054
A protest travels down the street in hopes of freeing Gaza .,Where does something travel?,canal,no,3022
A both in a black shirt is cooking out of a cookbook in a cluttered kitchen .,Who is cooking?,A man,no,187
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Where does someone sit?,half,no,2750
"A that walks down the street , camera in hand , trying to find something worthy of a photo .",Who walks somewhere?,A tourist,no,4355
"Two men climb stairs , one of which is wearing a shirt that says "" nerd "" on this .",What does something say?,"nerd "" on it",no,2163
A parasurfer gets pulled up above and to the side of a big splash he just made .,What does someone get?,from,no,3394
An African American girl who had just received a doll from a family who adopted her from the states .,Where did someone adopt someone?,world,no,1600
Two young girls wrapped in holiday garland pose for the camera .,Who poses for something?,women,no,2136
It looks as though there was a beauty competition of some sort sponsored by the group as evidenced by the stuffed panda bears .,Who sponsored something?,the Chinese,no,4281
A black women in a white shirt looks tired while a black women stirs a pot .,Who looks something?,A black man,no,1883
A cute child is sitting on the rocks in a yellow frock .,Where is someone sitting somewhere?,in a yellow frock,yes,2215
A gold medalist is celebrating his win next to his teammate with cameras surrounding him .,What is someone celebrating?,teammate,no,4244
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,Who sees?,someone,no,2938
A man with a yellow shirt and blue jeans re shingles a roof .,What is re?,shingles,yes,693
Two dogs with the same coloring look like they are going to bite each other in the face .,What is going to do something?,those,no,472
A band who is performing in front of their many fans .,How is someone performing?,in front of their many followers,no,3927
Woman with yellow button up shirt and jeans is making beautiful pottery etchings into one of her works of beauty .,What is something made into?,one of her works of art,no,4063
two woboys and two men are posing for a self held camera photograph .,Who is posing for something?,two women and two men,no,2091
A painter is sitting at a street corner and has completed the majority of a painting of the street across the street from himself .,What has someone completed?,the majority of a painting of the Cafe,no,2603
Two best friends embracing their friendship .,What is someone embracing?,families,no,1566
A young Asian man studying with a pencil and a dictionary while drinking a cola .,What was someone drinking?,drink,no,1170
A clerk in a convenience store asks a customer buying alcohol for his age and identification .,Who does someone ask?,person,no,2928
"An Asian man wearing a graphic T - shirt that says "" Music is the weapon of the future "" and an Asian woman in a gray hoodie with hoop earrings sit on a bench and eat a meal of noodles and shrimp from styrofoam plates",Who says something?,women,no,4330
"People can be seen walking down a quaint city road , past colorful buildings and cafe customers sitting under parasols , with no cars in sight .",Where is someone walking?,down a quaint city street,no,2953
"A black and white spaniel gently mouths the face of a toddler - aged girl wearing a red shirt , khaki skirt and black shoes while the girl looks somewhat embarrassed and somewhat disgusted by the dog 's touch .",How does someone look?,somewhat amused,no,3171
An eagle sits in a bare tree that is just starting to bud .,What does something sit in?,heart,no,2126
Three black runners in different uniforms run at varying paces at a racetrack .,What is varying?,times,no,4256
People play beer pong .,What does someone play?,pong,yes,2238
A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread .,What is something placed on?,path,no,768
A child riding a bike in an area with an overview of a body of water .,How is someone riding something?,being,no,3084
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What states something?,head,no,2658
Middle school aged kids are showing their school spirit at a pep show .,Where is someone showing something?,at a pep rally,no,1639
A constructor driving a hoist .,What is someone driving?,a hoist,yes,3301
A man in a white shirt and black jean with a ponytail juggles balls as a bicycle leans against the door with what looks like the belonging of someone homeless .,Where does something lean?,against the wall,no,1781
a playball player is making a jamming the ball in the basket,What is someone making?,a jamming the ball in the basket,no,4031
A giant reflective object which people are passing by and also looking at .,Who is looking?,they,no,1858
"A pair of they are in a kayak equipped with protective gear and oars , rowing down a rapid body of water in a blue and white kayak .",Who is equipped with something?,A pair of athletes,no,4095
A girl wearing a white polka dotted pink bow in her mouth squeezes a bubble in front of her face .,Where does someone wear something?,in her hair,no,215
A marching band dressed in red tunics and black trousers with tall black furry headpieces are walking in pairs in cadence down a sidewalk bordering a stone wall .,How was someone dressed?,shoes,no,3276
A there is sitting on a motocross bike pointing his finger forwards .,Who is pointing something?,A man,no,1919
A boy stands overlooking a schoolyard where other children play .,Who is overlooking something?,this,no,1366
Three men sitting around a table during a speaking engagement .,Who was sitting?,just,no,1128
A woman is presenting various documents using multimedia equipment .,What is using?,means,no,2354
A man in a green machine is cleaning a pump in front of the Drake hotel .,Who is cleaning something?,someone,no,1258
Ruggers are competing in a fierce game of rugby,Who is competing?,Ruggers,yes,1890
At a fencing tournament in a gymnasium two fencers engage in a play with their swords .,What does someone engage in?,a duel,no,4009
"At the rodeo , a patriotic cowboy and cowgirl prepare to ride with an american flag .",Where does someone ride with something?,show,no,816
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,Who observes something?,someone,no,2930
they are waiting in a queue to get the admission .,Who is waiting?,Students,no,1797
Man wearing swim clothes hangs from helicopter on hoist line .,What is someone wearing?,swim fins,no,4275
The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .,What does someone see something with?,workbook,yes,2940
"Two young boys , one in striped top , running down pathway surrounded by ferns .",Who is surrounded by something?,Two young children,no,483
A group of people look on as a group of hot air balloons are inflated before takeoff .,When is something inflated?,them,no,3566
A people wearing bifocals sits and plays a guitar next to a young woman with a straw hat who is holding a violin .,Who is wearing something?,A man,no,2625
"People can be seen walking down a quaint city road , past colorful buildings and cafe customers sitting under parasols , with no cars in sight .",How can someone be seen?,walking down a quaint city street,no,2951
"Three ballerinas perform an arabesque on stage , while another participant looks on .",Who performs something?,ballerinas,yes,2368
An Asian man wearing metallic armor riding a brown horse is raising his arm in a field .,Where is something being raised?,dance,no,3792
"A woman works on a piece of computer equipment , while surrounded by a variety of mechanical and computer equipment , in what appears to be some type of laboratory workroom .",What does someone work on?,paper,no,30
"A dog rests on a loveseat , while a man lies on a nearby sofa .",What does someone lie on?,table,no,2544
"Even though it 's rather cool for outdoor dining , many people are enjoying the cafeteria - style food .",What is someone enjoying?,cafeteria,no,2866
An Asian man is dressed as an explorer is posing with a woman dressed up as a movie starlet .,What is someone dressed as?,actor,no,1998
A girl wearing a white polka dotted pink bow in her mouth squeezes a bubble in front of her face .,Where is something dotted?,in her hair,no,219
A person bungee jumping with the coordinator watching from above .,Where is someone watching from?,behind,no,164
Small dog seeks comfort from his owner in this shopping scene .,What does something seek?,help,no,704
Overlooking a street with a sign above that that states Welcome To Golden .,What states something?,a sign above shops,no,3053
This red - haired darling knows how to play those drums .,What does someone know?,games,no,3714
A guy surfing the web eating pizza .,Who is surfing something?,from,no,3512
A man puts the finishing touches on his graffiti artwork .,What does someone put?,first,no,3002
A woman walks fingers - in - hand with a little boy who looks like he 's pulling out a wedgie,What does someone walk?,hand - in - hand,no,431
