context,question,answer,start,end
A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon .,Who is dressed?,A young female basketball player,0,4
A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon .,How is someone dressed?,in white and maroon,19,22
A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon .,What is someone dressed in?,white and maroon,20,22
A man prepares a fire outside to do some metalwork .,Who prepares something?,A man,0,1
A man prepares a fire outside to do some metalwork .,What does someone prepare?,a fire,3,4
A man prepares a fire outside to do some metalwork .,Where does someone prepare something?,outside,5,5
A man prepares a fire outside to do some metalwork .,Why does someone prepare something?,to do some metalwork,6,9
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Who is sitting?,Musician,0,0
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Where is someone sitting?,on the ground,2,4
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What is someone sitting on?,the ground,3,4
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Who plays something?,Musician,0,0
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What does someone play?,his guitar,6,7
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",When does someone play something?,as crowds of people walk around him,8,14
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Who walks somewhere?,crowds of people,9,11
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Where does someone walk?,around him,13,14
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What does someone walk through?,him,14,14
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Who is disregarding something?,Musician,0,0
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What is someone disregarding?,the sign,16,17
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What states something?,the sign in his case,16,20
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What does something state?,tell me why my music sucks,24,29
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Who tells something?,Musician,0,0
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",Who does someone tell something?,me,25,25
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What does someone tell someone?,why my music sucks,26,29
"Musician sitting on the ground plays his guitar as crowds of people walk around him disregarding the sign in his case which states "" tell me why my music sucks "" .",What sucks?,my music,27,28
"A young woman wearing glasses and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",Who wears something?,A young woman,0,2
"A young woman wearing glasses and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",What did someone wear?,glasses,4,4
"A young woman wearing glasses and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",What does someone wear?,glasses and a black blouse,4,8
"A young woman wearing glasses and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",What holds something?,A young woman wearing glasses and a black blouse,0,8
"A young woman wearing glasses and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",What does something hold?,a ladle,10,11
"A young woman wearing glasses and a black blouse holds a ladle in one hand , a bowl in the other and a fork in her mouth .",Where does something hold something?,in one hand,12,14
Three women in ethnic clothing digging next to a dirt road .,Who is digging somewhere?,Three women,0,1
Three women in ethnic clothing digging next to a dirt road .,Where is someone digging?,next to a dirt road,6,10
Two girls holding a box of possessions in a long underpass with cars in the background .,Who is holding something?,Two girls,0,1
Two girls holding a box of possessions in a long underpass with cars in the background .,What is someone holding?,a box of possessions,3,6
Two girls holding a box of possessions in a long underpass with cars in the background .,Where is something being held?,in a long underpass,7,10
A man is working in a mine or cavern of some sort .,Who is working?,A man,0,1
A man is working in a mine or cavern of some sort .,Where is someone working?,in a mine or cavern of some sort,4,11
A military man says hello to a group of children waving American flags .,Who says something?,A military man,0,2
A military man says hello to a group of children waving American flags .,What does someone say?,hello,4,4
A military man says hello to a group of children waving American flags .,Who does someone say something to?,a group of children waving American flags,6,12
A military man says hello to a group of children waving American flags .,Who is waving something?,a group of children,6,9
A military man says hello to a group of children waving American flags .,What is someone waving?,American flags,11,12
A muslim in a turban on his knees praying .,Who is praying?,A muslim,0,1
A man checking the temperature of a lady with an ear thermometer .,Who is checking something?,A man,0,1
A man checking the temperature of a lady with an ear thermometer .,What is someone checking?,the temperature,3,4
A man checking the temperature of a lady with an ear thermometer .,How is someone checking something?,with an ear thermometer,8,11
Two men stand strong under the waterfall 's cascade .,Who stands?,Two men,0,1
Two men stand strong under the waterfall 's cascade .,How does someone stand?,strong,3,3
Two men stand strong under the waterfall 's cascade .,Where does someone stand?,under the waterfall 's cascade,4,8
many people stand in a riot .,Who stands in something?,many people,0,1
many people stand in a riot .,Where does someone stand?,in a riot,3,5
many people stand in a riot .,What does someone stand in?,a riot,4,5
A bar crowded with patrons .,What is crowded with someone?,A bar,0,1
A bar crowded with patrons .,Who is something crowded with?,patrons,4,4
Bicyclist walks bike down a tunnel that does n't allow cycling .,Who walks something?,Bicyclist,0,0
Bicyclist walks bike down a tunnel that does n't allow cycling .,What does someone walk?,bike,2,2
Bicyclist walks bike down a tunnel that does n't allow cycling .,Where does someone walk something?,down a tunnel,3,5
Bicyclist walks bike down a tunnel that does n't allow cycling .,Who bikes somewhere?,Bicyclist,0,0
Bicyclist walks bike down a tunnel that does n't allow cycling .,Where does someone bike?,down a tunnel,3,5
Bicyclist walks bike down a tunnel that does n't allow cycling .,What does someone bike into?,a tunnel,4,5
Bicyclist walks bike down a tunnel that does n't allow cycling .,What doesn't allow something?,a tunnel,4,5
Bicyclist walks bike down a tunnel that does n't allow cycling .,What doesn't something allow?,cycling,10,10
Civilians and military personnel gather outside a building .,Who gathers somewhere?,Civilians and military personnel,0,3
Civilians and military personnel gather outside a building .,Where does someone gather?,outside a building,5,7
An African family stands in the middle of a group of hay huts with plastic overlays .,Who stands somewhere?,An African family,0,2
An African family stands in the middle of a group of hay huts with plastic overlays .,Where does someone stand?,in the middle of a group of hay huts,4,12
An African family stands in the middle of a group of hay huts with plastic overlays .,What is hutted?,hay,11,11
An African family stands in the middle of a group of hay huts with plastic overlays .,What is something hutted with?,plastic overlays,14,15
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is gathered?,A group of children and adults,0,5
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Where is someone gathered?,in an outdoor desert setting,8,12
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Why is someone gathered somewhere?,as if preparing for or returning from an outing,13,21
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is setting?,A group of children and adults,0,5
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Where is someone setting?,an outdoor desert,9,11
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",How is someone setting something?,as if preparing for or returning from an outing,13,21
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is preparing for something?,A group of children and adults,0,5
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",What is someone preparing with?,an outing,20,21
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is returning?,A group of children and adults,0,5
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Where is someone returning?,from an outing,19,21
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",What is someone returning from?,an outing,20,21
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is wearing something?,several kids,24,25
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",What did someone wear?,matching light blue backpacks,27,30
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Where did someone wear something?,in the far left background,35,39
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is matching something?,several kids,24,25
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",What is being matched?,light blue backpacks,28,30
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Where was something left?,far,37,37
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",What is left?,background,39,39
A man selling flower arrangements .,Who is selling something?,A man,0,1
A man selling flower arrangements .,What is someone selling?,flower arrangements,3,4
A grocery store checkout where a checker is counting out change .,What is counting up something?,A grocery store checkout,0,3
A grocery store checkout where a checker is counting out change .,Who is counting up something?,a checker,5,6
A grocery store checkout where a checker is counting out change .,What is someone counting up?,change,10,10
A man squatted on a rooftop cleans the rain gutters with a hose .,Who was squatted?,A man,0,1
A man squatted on a rooftop cleans the rain gutters with a hose .,Where was someone squatted?,on a rooftop,3,5
A man squatted on a rooftop cleans the rain gutters with a hose .,What was someone squatted on?,a rooftop,4,5
A man squatted on a rooftop cleans the rain gutters with a hose .,Who cleans something?,A man,0,1
A man squatted on a rooftop cleans the rain gutters with a hose .,What does someone clean?,the rain gutters,7,9
A man squatted on a rooftop cleans the rain gutters with a hose .,How does someone clean something?,with a hose,10,12
A man squatted on a rooftop cleans the rain gutters with a hose .,What does someone clean something with?,a hose,11,12
A man looks out over frozen tundra .,Who looks somewhere?,A man,0,1
A man looks out over frozen tundra .,How does someone look?,out,3,3
A man looks out over frozen tundra .,Where does someone look?,out over frozen tundra,3,6
Celebrating St. Patrick 's Day at 2:10 pm & an police officer is going inside a room .,What is being celebrated?,St. Patrick 's Day,1,4
Celebrating St. Patrick 's Day at 2:10 pm & an police officer is going inside a room .,When is something being celebrated?,at 2:10 pm &,5,8
Celebrating St. Patrick 's Day at 2:10 pm & an police officer is going inside a room .,Who is celebrating something?,an police officer,9,11
Celebrating St. Patrick 's Day at 2:10 pm & an police officer is going inside a room .,Who is going somewhere?,an police officer,9,11
Celebrating St. Patrick 's Day at 2:10 pm & an police officer is going inside a room .,Where is someone going?,inside a room,14,16
Children playing on a roundabout .,Who is playing?,Children,0,0
Children playing on a roundabout .,Where is someone playing?,on a roundabout,2,4
Children playing on a roundabout .,What is someone playing on?,a roundabout,3,4
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Who sits somewhere?,Small girls,0,1
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Where does someone sit?,in benches,3,4
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Who wears something?,a slightly older girl,11,14
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Who is wearing something?,girl,14,14
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,What does someone wear?,a white turtleneck,16,18
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,What sits somewhere?,a slightly older girl wearing a white turtleneck,11,18
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,Where does something sit?,on the carpet,20,22
Small girls sit in benches a circle in a clapboard room- a slightly older girl wearing a white turtleneck sits on the carpet in front of them .,What does something sit on?,the carpet,21,22
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,Who sits in something?,A young child,0,2
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,Where does someone sit?,in a highchair,4,6
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,What does someone sit in?,a highchair,5,6
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,Who draws something?,A young child,0,2
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,What does someone draw?,colorful squiggles,9,10
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,Where does someone draw something?,on a white piece of paper,11,16
A young child sits in a highchair and draws colorful squiggles on a white piece of paper .,What does someone draw something on?,a white piece of paper,12,16
A man on scaffolding working on the masonry of a wall .,Who is working?,A man,0,1
A man on scaffolding working on the masonry of a wall .,Where was someone working?,on the masonry of a wall,5,10
A man on scaffolding working on the masonry of a wall .,What is someone working on?,the masonry of a wall,6,10
A group of people of mixed ages sit on a bus that features red headrests .,Who sits somewhere?,A group of people of mixed ages,0,6
A group of people of mixed ages sit on a bus that features red headrests .,Where does someone sit?,on a bus,8,10
A group of people of mixed ages sit on a bus that features red headrests .,What does someone sit on?,a bus,9,10
A group of people of mixed ages sit on a bus that features red headrests .,What features something?,a bus,9,10
A group of people of mixed ages sit on a bus that features red headrests .,What does something feature?,red headrests,13,14
Three people in an open outdoor area have just landed from a skydiving drip .,Who landed?,Three people,0,1
Three people in an open outdoor area have just landed from a skydiving drip .,Where has someone landed?,in an open outdoor area,2,6
Three people in an open outdoor area have just landed from a skydiving drip .,What has someone landed from?,from a skydiving drip,10,13
Three people in an open outdoor area have just landed from a skydiving drip .,What is skydiving?,drip,13,13
four people in a snow covered field with hacksaws .,How was someone covered?,snow,4,4
four people in a snow covered field with hacksaws .,What is covered?,field,6,6
four people in a snow covered field with hacksaws .,How is something covered?,with hacksaws,7,8
A radio host having his picture taken .,What was taken?,his picture,4,5
Two people are observing some ruins .,Who is observing something?,Two people,0,1
Two people are observing some ruins .,What is someone observing?,some ruins,4,5
The nurse smiles as she gently rubs the tummy of the sleeping child .,Who smiles?,The nurse,0,1
The nurse smiles as she gently rubs the tummy of the sleeping child .,When does someone smile?,as she gently rubs the tummy of the sleeping child,3,12
The nurse smiles as she gently rubs the tummy of the sleeping child .,Who rubs something?,The nurse,0,1
The nurse smiles as she gently rubs the tummy of the sleeping child .,How does someone rub something?,gently,5,5
The nurse smiles as she gently rubs the tummy of the sleeping child .,What does someone rub?,the tummy of the sleeping child,7,12
The nurse smiles as she gently rubs the tummy of the sleeping child .,Who is sleeping?,child,12,12
"A woman in a blue and brown parka with matching hat is in a snow - covered forest on either crosscountry skis or snowshoes , which are obscured by the ruts in the trail she is following .",What is covered?,forest,17,17
"A woman in a blue and brown parka with matching hat is in a snow - covered forest on either crosscountry skis or snowshoes , which are obscured by the ruts in the trail she is following .",What is obscured by something?,crosscountry skis or snowshoes,20,23
"A woman in a blue and brown parka with matching hat is in a snow - covered forest on either crosscountry skis or snowshoes , which are obscured by the ruts in the trail she is following .",How is something obscured?,by the ruts in the trail she is following,28,36
"A woman in a blue and brown parka with matching hat is in a snow - covered forest on either crosscountry skis or snowshoes , which are obscured by the ruts in the trail she is following .",What is something obscured by?,the ruts,29,30
"A woman in a blue and brown parka with matching hat is in a snow - covered forest on either crosscountry skis or snowshoes , which are obscured by the ruts in the trail she is following .",What is being followed?,the ruts in the trail,29,33
"A woman in a blue and brown parka with matching hat is in a snow - covered forest on either crosscountry skis or snowshoes , which are obscured by the ruts in the trail she is following .",Who is following something?,she,34,34
"Four asian children , three girls and one boy , sit behind a volcano diorama .",Who sits somewhere?,Four asian children,0,2
"Four asian children , three girls and one boy , sit behind a volcano diorama .",Where does someone sit?,behind a volcano diorama,11,14
One young girl is braiding colored cord into another girls hair .,Who is braiding something?,One young girl,0,2
One young girl is braiding colored cord into another girls hair .,What is someone braiding?,colored cord,5,6
One young girl is braiding colored cord into another girls hair .,Where is something being braided?,into another girls hair,7,10
One young girl is braiding colored cord into another girls hair .,What is someone braiding something into?,another girls hair,8,10
Four hunks of meat spin on a spit while a man cuts food with a knife in the background .,Who cuts something?,a man,9,10
Four hunks of meat spin on a spit while a man cuts food with a knife in the background .,What does someone cut?,food,12,12
Four hunks of meat spin on a spit while a man cuts food with a knife in the background .,How does someone cut something?,with a knife,13,15
Four hunks of meat spin on a spit while a man cuts food with a knife in the background .,Where does someone cut something?,in the background,16,18
A man in a thick blue winter jacket shoveling snow in a winter blizzard .,Who is shoveling something?,A man,0,1
A man in a thick blue winter jacket shoveling snow in a winter blizzard .,Who shoveled something?,A man in a thick blue winter jacket,0,7
A man in a thick blue winter jacket shoveling snow in a winter blizzard .,What was someone shoveling?,snow,9,9
A man in a thick blue winter jacket shoveling snow in a winter blizzard .,Where is something being shoveled?,in a winter blizzard,10,13
A person in a purple jacket is squatting around several moose .,Who is squatting?,A person,0,1
A person in a purple jacket is squatting around several moose .,Where is someone squatting?,around several moose,8,10
A person in a purple jacket is squatting around several moose .,What is someone squatting through?,several moose,9,10
Many people gather to watch a new invention .,Who gathers?,Many people,0,1
Many people gather to watch a new invention .,Why does someone gather?,to watch a new invention,3,7
Many people gather to watch a new invention .,What does someone gather to do?,watch a new invention,4,7
Many people gather to watch a new invention .,Who watches something?,Many people,0,1
Many people gather to watch a new invention .,What does someone watch?,a new invention,5,7
"Man in blue jack , sleeping or passed out on a red public bench .",Who is sleeping?,Man,0,0
"Man in blue jack , sleeping or passed out on a red public bench .",Where is someone sleeping?,on a red public bench,9,13
"Man in blue jack , sleeping or passed out on a red public bench .",Who is passed?,Man,0,0
"Man in blue jack , sleeping or passed out on a red public bench .",How was someone passed?,out,8,8
"Man in blue jack , sleeping or passed out on a red public bench .",Where is someone passed?,on a red public bench,9,13
"Man in blue jack , sleeping or passed out on a red public bench .",What is someone passed on?,a red public bench,10,13
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",Where is someone pushing something?,At an intersection,0,2
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",Who is pushing something?,a man,4,5
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",What is someone pushing?,a gurney,8,9
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",What is loaded with something?,a gurney,8,9
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",How is something loaded?,with boxes,11,12
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",What is something loaded with?,boxes,12,12
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",Where is something loaded with something?,in front of a woman,13,17
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",Who wore something?,a woman,16,17
"At an intersection , a man is pushing a gurney loaded with boxes in front of a woman wearing brown boots .",What did someone wear?,brown boots,19,20
A man crosses the city street in a snowstorm while a van and garbage truck drive by .,Who crosses something?,A man,0,1
A man crosses the city street in a snowstorm while a van and garbage truck drive by .,What does someone cross?,the city street,3,5
A man crosses the city street in a snowstorm while a van and garbage truck drive by .,How does someone cross something?,in a snowstorm,6,8
A man crosses the city street in a snowstorm while a van and garbage truck drive by .,When does someone cross something?,while a van and garbage truck drive by,9,16
A woman is helping another woman with the closure on her dress .,Who is helping someone?,A woman,0,1
A woman is helping another woman with the closure on her dress .,Who is someone helping?,another woman,4,5
A woman is helping another woman with the closure on her dress .,How is someone helped?,with the closure on her dress,6,11
A woman is helping another woman with the closure on her dress .,What is someone helped with?,the closure on her dress,7,11
"The terminal is nearly empty , only a few people are there getting to their destination .",Who is getting somewhere?,only a few people,6,9
"The terminal is nearly empty , only a few people are there getting to their destination .",Where is someone getting?,to their destination,13,15
"The terminal is nearly empty , only a few people are there getting to their destination .",What is someone getting to?,their destination,14,15
"A young man is looking for a ride on a country road , sitting on a grassy field with a large tree and mansion in the background .",Who is looking for something?,A young man,0,2
"A young man is looking for a ride on a country road , sitting on a grassy field with a large tree and mansion in the background .",What is someone looking for?,a ride,6,7
"A young man is looking for a ride on a country road , sitting on a grassy field with a large tree and mansion in the background .",Who is sitting somewhere?,A young man,0,2
"A young man is looking for a ride on a country road , sitting on a grassy field with a large tree and mansion in the background .",Where is someone sitting?,on a grassy field,14,17
"A young man is looking for a ride on a country road , sitting on a grassy field with a large tree and mansion in the background .",What is someone sitting on?,a grassy field,15,17
"The elderly , overweight man is wearing a hat , moccasins , and a purple shirt while reading a book on a sidewalk in front of a tree .",Who is wearing something?,"The elderly , overweight man",0,4
"The elderly , overweight man is wearing a hat , moccasins , and a purple shirt while reading a book on a sidewalk in front of a tree .",What is someone wearing?,"a hat , moccasins , and a purple shirt",7,15
"The elderly , overweight man is wearing a hat , moccasins , and a purple shirt while reading a book on a sidewalk in front of a tree .",When is someone wearing something?,while reading a book,16,19
"The elderly , overweight man is wearing a hat , moccasins , and a purple shirt while reading a book on a sidewalk in front of a tree .",Who is reading something?,"The elderly , overweight man",0,4
"The elderly , overweight man is wearing a hat , moccasins , and a purple shirt while reading a book on a sidewalk in front of a tree .",What is being read?,a book,18,19
"The elderly , overweight man is wearing a hat , moccasins , and a purple shirt while reading a book on a sidewalk in front of a tree .",Where is something being read?,on a sidewalk in front of a tree,20,27
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,What was taken?,A photo,0,1
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,Where was something taken?,in a sepia setting,3,6
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,What was set?,sepia,5,5
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,Who was walking?,a man,8,9
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,Where was someone walking?,towards the camera,11,13
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,What is lined with something?,a cobble road,15,17
A photo taken in a sepia setting with a man walking towards the camera along a cobble road lined with parked cars .,What is something lined with?,parked cars,20,21
A construction worker pulls a whaler .,Who pulls something?,A construction worker,0,2
A construction worker pulls a whaler .,What does someone pull?,a whaler,4,5
"Two large men are dressed in black t - shirts , khaki bottoms , boots , and jewelry with hardware .",Who is dressed?,Two large men,0,2
"Two large men are dressed in black t - shirts , khaki bottoms , boots , and jewelry with hardware .",How is someone dressed?,"in black t - shirts , khaki bottoms , boots , and jewelry with hardware",5,19
"Two large men are dressed in black t - shirts , khaki bottoms , boots , and jewelry with hardware .",What is someone dressed in?,"black t - shirts , khaki bottoms , boots , and jewelry",6,17
"Even though it 's rather cool for outdoor dining , many people are enjoying the cafeteria - style food .",Who is enjoying something?,many people,10,11
"Even though it 's rather cool for outdoor dining , many people are enjoying the cafeteria - style food .",What is someone enjoying?,the cafeteria - style food,14,18
A newswoman being filmed in Times Square .,Who was filmed?,A newswoman,0,1
A newswoman being filmed in Times Square .,Where was someone filmed?,in Times Square,4,6
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,Who holds something?,A little girl,0,2
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,What does someone hold?,her doll,8,9
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,Where does someone hold something?,against an iron fence,10,13
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,When does someone hold something?,as a bicycle passes behind her,14,19
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,What passes somewhere?,a bicycle,15,16
A little girl in an orange sarong holds her doll against an iron fence as a bicycle passes behind her .,Where does something pass?,behind her,18,19
A girl with blond - hair is playing darts .,Who is playing something?,A girl with blond - hair,0,5
A girl with blond - hair is playing darts .,What is someone playing?,darts,8,8
A female barista making a latte .,Who makes something?,A female barista,0,2
A female barista making a latte .,What is someone making?,a latte,4,5
An older gentleman reads a periodical as he is beset on each side by a gentleman ( one on each ) .,Who reads something?,An older gentleman,0,2
An older gentleman reads a periodical as he is beset on each side by a gentleman ( one on each ) .,What does someone read?,a periodical,4,5
An older gentleman reads a periodical as he is beset on each side by a gentleman ( one on each ) .,How does someone read something?,as he is beset on each side by a gentleman,6,15
A newborn boy is lying in an incubator with many tubes attached .,Who is lying?,A newborn boy,0,2
A newborn boy is lying in an incubator with many tubes attached .,Where is someone lying?,in an incubator,5,7
A newborn boy is lying in an incubator with many tubes attached .,How is someone lying somewhere?,with many tubes attached,8,11
A newborn boy is lying in an incubator with many tubes attached .,What is attached?,many tubes,9,10
A black and tan dog being held with a lease .,What is held with something?,A black and tan dog,0,4
A black and tan dog being held with a lease .,How is something held?,with a lease,7,9
A black and tan dog being held with a lease .,What is something held with?,a lease,8,9
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",Who wore something?,"A stout , elderly man",0,4
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",What did someone wear?,a red checkered shirt,6,9
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",What is checkered?,shirt,9,9
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",What casts something?,"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap",0,19
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",What does something cast?,his line,21,22
"A stout , elderly man wearing a red checkered shirt , black shorts , sandals , and a green cap casts his line over a balustrade into murky waters , while several others in the background do the same .",Where does something cast something?,over a balustrade,23,25
Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background .,What sits somewhere?,Drum kit cymbals,0,2
Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background .,Where does something sit?,under a microphone,4,6
Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background .,What does something sit through?,a microphone,5,6
Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background .,When does something sit somewhere?,while a guitarist and some other people are in the background,7,17
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,Who is smiled?,man,2,2
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,Who holds up something?,A smiling man with a beard,0,5
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,What does someone hold up?,a poster,8,9
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,What shows something?,a poster,8,9
A smiling man with a beard holds up a poster showing an abstract elephant cartoon painted in horizontal rainbow stripes .,What is being shown?,an abstract elephant cartoon,11,14
