context,question,label,answer1,answer2,index1
"'Several tenants blame other people as perpetrators of the rift, however.",How long has there been a rift between neighbors?,no,100 years,happen simultaneously,422
A woman and her saint bernard dog sitting on a bench in the sunshine on a sunny day,Where was someone sitting?,no,on a bench in the park,ralph godbee,8714
"Hextall played 11 of his 13 seasons over two stints with the Flyers. He holds several team records and is a member of the Flyers Hall of Fame. During his rookie season in 1986–87, he was awarded the Vezina Trophy as the league's top goaltender and led the Flyers to the Stanley Cup Finals. Despite the Flyers' loss to the Edmonton Oilers in seven games, he won the Conn Smythe Trophy as the playoffs' most valuable player, making him one of only five players to win the trophy in a losing effort. Injuries in the middle of his career contributed to a drop in his playing ability; as a result, he was traded on three occasions in the off-seasons between 1992 and 1994 to the Nordiques, the Islanders and then back to the Flyers. Upon his return to Philadelphia, Hextall regained confidence and form, recording goals against averages (GAA) below 3.00 in each of his five subsequent seasons – the lowest of his career. He retired from the NHL at the end of the 1998–99 season.",What company did Hextall work for ?,yes,edmonton oilers,for several days,3837
"Meta Data Services was originally named the Microsoft Repository and was delivered as part of Visual Basic 5 in 1997. The original intent was to provide an extensible programmatic interface via Microsoft's OLE automation to metadata describing software artifacts and to facilitate metadata interchange between software tools from multiple vendors. The Repository became part of SQL Server 7 and a number of SQL Server tools took dependencies on the Repository, especially the OLAP features. In 1998, Microsoft joined the Meta Data Coalition and transferred management of the underlying Open Information Model (OIM) of the Repository to the standards body.  The Repository was renamed Meta Data Services with the release of SQL Server 2000. Support for Meta Data Services was withdrawn from support with the release of SQL Server 2005.A number of Microsoft technologies used Meta Data Services as a native store for object definitions or as a platform for deploying metadata. One of the ways in which Microsoft SQL Server 2000 used Meta Data Services was to store versioned DTS Packages. In Microsoft Visual Studio Meta Data Services supported the exchange of model data with other development tools.",What was the Repository renamed with the release of SQL Server 2000 ?,yes,renamed meta data services,common era,2517
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",How much did the tour last?,yes,1 hour,still images,81
"However, in response to using Basha Dam to sideline the Kalabagh Dam, Engineer Anwer Khurshid has stated that ""Bhasha dam is no substitute for Kalabagh dam not because of its altitude which is high enough, but because no irrigation canals can be taken out from it because of the hilly terrain. No canals can be taken out from any dam on the Indus except from Kalabagh Dam."" It is planned to have a height of 272 meters spillway with fourteen gates each 11.5 m × 16.24 m. The gross capacity of the reservoir will be 10 cubic kilometres (8,100,000 acre⋅ft), with a live storage of 7.9 cubic kilometres (6,400,000 acre⋅ft). Two underground powerhouses are being proposed, one on each side of the main dam having six turbines on each side with a total installed capacity of 4500 MW.",What river can no canals be taken out from Kalabagh Dam ?,yes,indus except,fiftyfive member universities,1380
"""Strange Relationship"" is a song from American musician Prince's 1987 double album, Sign o' the Times. A live performance of the song was released as a digital single, made available on Prince's website on March 26, 2005.",What kind of performance of the song was released as a digital single in 2005 ?,yes,live performance,papers published,4209
Fabric 57 is a 2011 album by Agoria. The album was released as part of the Fabric Mix Series.,What is the name of Agoria ' s 2011 album ?,yes,fabric 57,door,2594
"In September 2010 he was appointed by Queen Elizabeth II on the advice of the British government, to represent the Queen as Governor of the British Virgin Islands, and to act as the de facto head of state in the Territory. Prior to his appointment as governor, McCleary served as High Commissioner to Malaysia from 2006 to 2010.Shortly after his arrival in the British Virgin Islands, the territory was damaged by Hurricane Earl. Although at the time of his appointment there was a degree of tension over constitutional matters between the United Kingdom and the British Virgin Islands, McCleary won plaudits in the local press for his deft handling of the situation.  Currently, he is on the advisory board of OMFIF where he is regularly involved in meetings regarding the financial and monetary system. Previously, he was also one of the patrons of the British Theatre Playhouse, a company aiming at the production of British theatrical plays and musical shows.",What is the British Theatre Playhouse ?,yes,company aiming,person,7734
Couples and singles dancing with numbers attached to them .,What is someone dancing with?,no,them,Many woman,8573
"George Moroko (born 5 January 1957) is an Australian former professional rugby league footballer who played for Western Suburbs, Cronulla and St. George in the early 1980s.",When did Moroko play for Western Suburbs ?,yes,early 1980s,justin james hayward,3643
"A dark - skinned man in traditional African garb stares into the camera , his right eye appears to have a cataract .",What appears to do something?,no,hand,january 27,8605
"Novardok established yeshivas all over the region, in major cities such as Kiev, Kharkov, Nizhny Novgorod, Rostov-on-Don, Zhitomir, Berditchev, Tsaritsyn, Saratov, Plogid, and Chernigov. Influenced by the Alter, his students also created Yeshivas in Kherson, Mohyliv-Podilskyi, Kamieniec-Podolski, Berdichev, Nikolaev, Bălţi, Odessa, Piotrków Trybunalski and other places. The Alter sent young scholars to lead the yeshivas.One of the highlights of the yeshiva's mussar program was its daily ""mussar hour."" During these sessions, students engaged in fiery soul-searching.",Where did Novardok establish yeshivas ?,yes,major cities,partially positively charged,4156
"The 1926 Open Championship was the 61st Open Championship, held 23–25 June at Royal Lytham & St Annes Golf Club in Lytham St Annes, England. Amateur Bobby Jones won the first of his three Claret Jugs, two strokes ahead of runner-up Al Watrous. Jones was the first amateur to win the title in 29 years, last by Harold Hilton in 1897. Americans finished in the top four spots and it was the fifth victory by an American in six years.This was the first Open Championship in which there was both qualifying and a 36-hole cut. A 36-hole cut had been introduced in 1898 to reduce numbers on the final day. However with an ever increasing number of entries, in 1907 the cut was replaced with a qualification competition. This had continued until 1925, except in 1910–11 when there was again no qualification but a 36-hole cut. To make the cut players would need to be within 14 strokes of the leader after 36 holes. A new rule by the R&A was also put into place in the 1926 Open Championship; it stated that no competitors would be allowed more than two practice rounds prior to the event.  In the past some players had spent weeks on the championship course practicing. This new rule allowed the American players to compete on more equal terms with the British entrants.This was also the first time there was regional qualifying. A southern section played at Sunningdale, a central section at St Annes Old Links and a northern section at Western Gailes. Each section played 36 holes, although for the southern and central sections this took place on two days (16–17 June) while for the northern section it was on just one day (16 June). 49 places (and ties) were allocated to the southern section, 42 places (and ties) to the central section and 10 places (and ties) to the northern section. 55 players qualified from the southern section, 51 from the central section and 11 from the northern section giving a total of 117. Tom Wilson won the northern section with a score of 148. In the southern section Bobby Jones dominated, scoring 134 (66-68) and leading by seven clear strokes. During the two rounds on only one hole did he score more than four, a five at the 10th in his second round.  After his first round of 66, The Times reported that ""the crowd dispersed awe-stricken. They had watched the best round they had ever seen, or ever would see, and what the later players did they neither knew nor cared"". Walter Hagen led the central section with a score of 143, one of nine Americans qualifying there.Hagen opened with 68 on Wednesday to take the lead, but a 77 in the second round dropped him back to third. In his second Open and already the winner of two U.S. Amateurs and a U.S. Open, Jones played steady golf and carded two rounds of 72 to co-lead with Bill Mehlhorn at the midway point. Hagen was a stroke back and one behind him were Watrous and Fred McLeod.Jones had 73 in the third round on Friday morning, but Watrous shot 69 and took a two-stroke lead after 54 holes. In the final round that afternoon, Jones was still two behind Watrous with five holes to play. After picking up two strokes to forge a tie, Jones hit a wayward drive on 17 which appeared to swing the tournament back to Watrous.  However, Jones hit a remarkable recovery shot from the sand dunes onto the green, closer to the hole than Watrous' approach from the fairway. Jones wound up taking the decisive lead in the tournament on this hole after Watrous three-putted. Jones played the tough final 5 holes in 4-3-4-4-4 to post 74 for 291, while Watrous struggled to 78 and 293. Hagen, playing behind Jones and Watrous, had a chance to tie by holing his second shot on the 18th, but his shot rolled past the hole and into a bunker and he settled for third place.Jones, age 24, won his first Open Championship in just his second appearance. His first was five years earlier in 1921 and was less than pleasant: he walked off the Old Course at St Andrews in frustration after taking several shots to get out of a bunker. He went on to win two more Opens; his successful defense in 1927 was back at the Old Course, and his third in 1930 at Royal Liverpool was the second leg of his celebrated grand slam. Its first leg was the 1930 British Amateur, won three weeks earlier, Jones' win 90 years ago in 1930 is the last by an amateur.",Who won the 1926 Open Championship ?,yes,49 places,one year,3756
a brown dog and a white dog are running across a stony hillock .,Where is something running?,yes,across a stony hillock,general,11884
Branko Lustig (10 June 1932 – 14 November 2019) was a Croatian film producer best known for winning Academy Awards for Best Picture for Schindler's List and Gladiator. He is the only person born in the territory of present-day Croatia to have won two Academy Awards.,What was Lustig known for for ?,yes,winning academy awards,uk parliament constituency,2791
"The Metochion or Monastery of the Holy Trinity with the Church of the Holy Forefathers at Abraham's Oak in Hebron (Russian: Троицкий монастырь и храм св. Праотцев в Хевроне, lit. ""Monastery of the Trinity and Church of the Holy Forefathers in Hebron"", Arabic: كنيسة المسكوبية‎) is a Russian Orthodox monastery in Hebron founded in the 20th century on the site of the ancient Oak of Mamre. The lands were acquired by Archimandrite Antonin (Kapustin) for the Russian Church in the 19th century and later expanded. It was held by ROCOR until 1997 when Palestinian police seized it and turned it over to the Moscow Patriarchate. Ownership disputes continue.Its location is distinct and at a distance of several kilometres from that of Mamre, the site of the terebinth or oak of Abraham described by Josephus, surrounded with an enclosure by Herod the Great, and where Constantine the Great built a basilica in the 4th century. The ""Oak of Abraham"" situated on the grounds of the Russian compound described in this article owes its veneration to a newer tradition, which appeared sometime between the mid-12th century and the 19th century.",What is Antonin ' s title ?,yes,archimandrite antonin,at an outdoor shopping bazaar,1173
"A man wearing a black shirt and blue jeans up in the air holding a plywood in each hand in front of a building that has a word "" stomp "" .",What is holding?,yes,a plywood,girl,8074
"What later came to be known as the William and Mary style is a furniture design common from 1700 to 1725 in the Netherlands, the Kingdom of England, the Kingdom of Scotland, and later, in England's American colonies. It was a transitional style between Mannerist furniture and Queen Anne furniture. Sturdy, emphasizing both straight lines and curves, and featuring elaborate carving and woodturning, the style was one of the first to imitate Asian design elements such as japanning.",When was the William and Mary style known as ?,yes,later came,A woman,2445
'She ordered the tastiest kind of each fruit and the prettiest kind of each flower.,How exactly does she order vegetables and flowers?,yes,each week,at high speed,561
"His Name Was Robert (Russian: Его звали Роберт, romanized: Ego zvali Robert) is a 1967 Soviet science fiction film directed by Ilya Olshvanger.",Who directed the film ' His Name Was Robert ' ?,yes,ilya olshvanger,martial arts,3127
"Joseph Thompson Goodman (September 18, 1838–October 1, 1917) was an American journalist, writer, and epigrapher. During the Comstock silver boom in Virginia City, Nevada, he was owner and editor of the Territorial Enterprise, one of the largest and most influential newspapers on the West Coast. He hired Samuel Clemens as a reporter for the paper, giving Clemens his ""start"" as a professional writer. He later became interested in deciphering Maya inscriptions and made significant contributions in the field.",What did Goodman do for the Mayan inscriptions ?,yes,deciphering maya inscriptions,youtube partnership program,2032
"Durai Chandrasekaran is an Indian politician and incumbent Member of the Legislative Assembly of Tamil Nadu. He was elected four times to the Tamil Nadu legislative assembly as a Dravida Munnetra Kazhagam candidate from Tiruvaiyaru constituency in the 1989, 1996, 2006 and 2016 elections. He lost the seat to P. Kaliyaperumal of the All India Anna Dravida Munnetra Kazhagam (AIADMK) in the 1991 election and to K. Ayyaru Vandayar of the same party in 2001.He is Thanjavur South DMK District secretary.",What is Durai Chandrasekaran ?,yes,indian politician,varbergs bois,4859
"The Bureau of the Public Debt, an agency of the U.S. Treasury Department, was relocated from the Washington, D.C. metropolitan area in the late 20th century and headquartered in Parkersburg. In October 2012, it was merged with the Financial Management Service to form the Bureau of the Fiscal Service.",What is the Bureau of the Public Debt ?,yes,public debt,pilot project,2025
The Russian Union of Evangelical Christians-Baptists (Russian: Росси́йский сою́з ева́нгельских христиа́н-бапти́стов) is a Baptist Christian denomination in Russia. It is affiliated with the Baptist World Alliance. The headquarters is in Moscow.,What is the Russian Union of Evangelical Christians - Baptists ?,yes,росси ́ йский сою ́ з ева ́ нгельских христиа ́ н,buddy rich,4635
"Performing some bike cycles , the lady lubricates a frame before assembly is completed .",What is being performed?,no,some bike maintenance,born july 2,8868
"David Cunningham is an American football coach and former player.  He is the tailbacks coach at Minnesota State University, Mankato, where he has been an assistant coach since 2014. ",What was David Cunningham ' s former career ?,yes,former player,central sections,2600
A girl is performing karate in front of people .,What is someone performing?,no,music,16s rrna,12325
"As of February 2017, there were more than 400 hours of content uploaded to YouTube each minute, and one billion hours of content being watched on YouTube every day. As of October 2020, YouTube is the second-most popular website in the world, behind Google, according to Alexa Internet. As of May 2019, more than 500 hours of video content are uploaded to YouTube every minute. Based on reported quarterly advertising revenue, YouTube is estimated to have US$15 billion in annual revenues.","As of February 2017 , how much content is watched on youtube every day ?",yes,one billion hours,1100 species,5550
"'When she went to a judge to file a case against her mother, she found the process so confusing that she gave up and went on.",How soon was she at the courthouse?,yes,1.5 hours,"a small joint- one on the drums , one on guitar , and the third on keyboard",864
"Ruby Alice Tandoh (born 4 July 1992) is a British baker, columnist, author, and former model. She rose to fame after becoming a runner-up on series four of BBC's The Great British Bake Off in 2013.",What is Ruby Alice Tandoh ' s occupation ?,yes,british baker,etc .),1897
A sportswoman is raising her arm to answer a letter .,Why is someone raising something?,no,to answer a question,phoenician alphabet,9464
"Sadhana Sargam is an Indian singer, whose voice has been extensively recorded for thousands of tracks in Indian cinema. In addition to being a renowned playback singer, she is also a trained Hindustani classical singer who has recorded hundreds of bhajans, ghazals, and other spiritual tracks. She, has to her credit, won a National Film Award, two Filmfare awards, five Maharashtra State Film awards, four Gujarat State Film Awards, and one Orissa State Film Award. She has recorded 15000 songs in 35 regional languages.",How many songs has Sadhana Sargam recorded ?,yes,recorded 15000 songs,new john wiley series called,3339
"Hasanlu (Persian: حسنلو‎, also Romanized as Ḩasanlū) is a village in Sumay-ye Jonubi Rural District, Sumay-ye Beradust District, Urmia County, West Azerbaijan Province, Iran. At the 2006 census, its population was 574, in 106 families.",What is Hasanlu ' s Persian name ?,yes,"حسنلو ‎, also romanized",song,2997
Three people in an open outdoor area have just landed from a skydiving team .,What is skydiving?,no,drip,fanbase activities,10794
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,How frequently does Bailey receive awards?,no,every few seconds,25 february 1942,280
"In late 1970s and early 1980s, Brian Spalding was the Reilly Professor of Combustion Engineering at Purdue University.",In what decade was Brian Spalding the Reilly Professor of Combustion Engineering ?,yes,late 1970s,steve peters,6833
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,How much did it take for Pushkin to commit to social reform?,no,several seconds,chilean actress,502
they riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,Who is riding?,no,Kids,tcf center,8956
Ballerina performing as a girl rat in an open park .,What is someone performing as?,no,girl,dating reality television series mujhse shaadi karoge,10983
The African Journal of Urology is a quarterly peer-reviewed medical journal of urology. It is the official journal of the Pan African Urological Surgeons' Association and is published on their behalf by Elsevier. It is also available online from African Journals OnLine. Articles are published in English and French and abstracted and indexed in Scopus and African Index Medicus.,"Along with Scopus , what is the abstracted and indexed in ?",yes,african index medicus,2 seconds,5294
"Masashi ""Jumbo"" Ozaki has been the dominant player on tour, leading the career wins list with 94, the career money list with over ¥2 billion, and winning the money title twelve times between 1973 and 1998.",What list does Ozaki lead ?,yes,career money list,sell opera tickets,3283
A group of elderly peddlers selling blow up balloons and dance along the side of a street .,What is someone selling?,no,blow up balloons and toys,in one hand,10030
A woman holding a woman in a small bathroom ; another woman is right outside the door speaking with her .,What is someone holding?,no,a broom,they,8116
"Unplugged is a live album and DVD by the American rock band Alice in Chains, released on July 30, 1996 by Columbia Records. It was recorded on April 10, 1996 at the Brooklyn Academy of Music's Majestic Theatre for the television series MTV Unplugged. The show was directed by Joe Perota and first aired on MTV on May 28, 1996. The MTV Unplugged was Alice in Chains' first concert in two and a half years, and contains live, acoustic versions of the band's biggest hits and lesser-known songs. A new song, ""The Killer Is Me"", was performed for the first time during the concert. The acoustic version of ""Over Now"" (originally released on Alice in Chains' 1995 self-titled album) was released as a single. The album debuted at No. 3 on the Billboard 200 chart, and has been certified platinum by the RIAA. The performance was released on DVD on October 26, 1999, and re-released as a CD/DVD package featuring unaired footage on September 18, 2007. The home video release has received gold certification by RIAA.",When was the live album released ?,yes,april 10,beck bogeyed 16,7100
"The Blackpool Tramway runs from Blackpool to Fleetwood on the Fylde Coast in Lancashire, England. The line dates back to 1885 and is one of the oldest electric tramways in the world. It is operated by Blackpool Transport (BT) and runs for 11 miles (18 km). It carried 4.8 million passengers in the 2019/20 financial year.It is the second-oldest electric tramway in the United Kingdom, the first being Volk's Electric Railway in Brighton, which opened two years earlier and similarly runs on a reserved track along the seafront. These are also the two surviving first-generation town tramways in the UK, though the majority of services on the line have since 2012 been operated by a fleet of modern Bombardier Flexity 2 trams. A 'heritage service' using the traditional trams operates on Bank Holidays, select weekdays and weekends from January to December, as well as during the Blackpool Illuminations. Excluding museums, it is one of only a few tramways in the world to still use double-deck trams, others including the Hong Kong Tramways and the Alexandria Tram in Egypt.",What other tramways still use double - deck trams ?,yes,others including,regular units,3456
"'The site of Nueva Sevilla proved to be unhealthy and mosquito-ridden, and in 1534 the Spanish founded Villa de la Vega, today known as Spanish Town.",How long did the Spanish settle in new places?,no,every 20 days,name change,899
"Jamie Goode is a British author with a PhD in plant biology, and a wine columnist of The Sunday Express. Goode also contributes to wine publications such as Harpers, The World of Fine Wine, Decanter, GrapesTALK and Sommelier Journal.",What is one of the publications that Jamie Goode contributes to ?,yes,sommelier journal,yomiuri milers cup,4957
'The properties of others depend on the types of objects that it is made of.,Do the object still form matter?,yes,yes,fédération internationale des échecs,845
"Isfjord Radio is a coast radio station, weather station and hotel located at Kapp Linné on the island Spitsbergen in Svalbard, Norway. The station was established in 1933, and has played an important role in the telecommunications between the Svalbard archipelago and the outside world. The station was destroyed by both sides during World War II, and rebuilt in 1946. The station was important for ships traffic and air traffic. Satellite communications were established in 1979, but depreciated when a fiber optic cable between Svalbard and the mainland was finished in 2004. Isfjord Radio was automated and depopulated in 1999. Parts of the outdated installations have been preserved as a historical site.","Along with a radio station , what is Isfjord Radio a hotel ?",yes,weather station,A group of individuals,3249
"The Phong Nhị and Phong Nhất massacre (Korean: 퐁니·퐁넛 양민학살 사건, Vietnamese: Thảm sát Phong Nhất và Phong Nhị) was a massacre reported to have been conducted by the 2nd Marine Brigade of the Republic of Korea Marines (ROKMC) on 12 February 1968 of unarmed citizens in the villages of Phong Nhị and Phong Nhất, Điện Bàn District of Quảng Nam Province in South Vietnam. The South Korean forces had been newly transferred from the area, in the wake of the Tet Offensive, with the village located in a densely populated region in and around Da Nang. Transferring Korean Marines to the populated Da Nang sector from a less populated sector was unpopular with ARVN and US Commanders and setting back pacification and relation-building efforts, due to the behaviour of Korean forces.",Who was killed in the Phong Nhị and Phong Nhất massacre ?,yes,unarmed citizens,stanley cup,4200
"William Dalen Clyburn (born May 17, 1990) is an American professional basketball player for CSKA Moscow of the VTB United League and the EuroLeague. Clyburn attended three colleges, spanning from 2008 to 2013: Marshalltown Community College, University of Utah, and Iowa State University before playing professionally in Germany, Israel, Turkey and Russia. Clyburn was named the EuroLeague Final Four MVP in 2019.",What is the name of Clyburn ' s jersey ?,yes,cska moscow,indian subcontinent,1078
A little girl in an orange sarong holds her doll against an iron bench as a bicycle passes behind her .,Where does someone hold something?,no,against an iron fence,behind,10890
"In cognitive therapy, decatastrophizing or decatastrophization is a cognitive restructuring technique to treat cognitive distortions, such as magnification and catastrophizing, commonly seen in psychological disorders like anxiety and psychosis.The technique consists of confronting the worst-case scenario of a feared event or object, using mental imagery to examine whether the effects of the event or object have been overestimated (magnified or exaggerated) and where the patient's coping skills have been underestimated. The term was coined by Albert Ellis, and various versions of the technique have been developed, most notably by Aaron T. Beck.Decatastrophizing is also called the ""what if"" technique, because the worst-case scenario is confronted by asking: ""What if the feared event or object happened, what would occur then?""",Who coined the term decatastrophizing ?,yes,albert ellis,"modification "";",5646
"Hurricane Season is a 2009 sports drama film directed by Tim Story and starring Forest Whitaker, Taraji P. Henson, Isaiah Washington, and Bow Wow. The screenplay was written by Robert Eisele and the film was produced by Raymond Brothers and Scott Glassgold. The film had been delayed several times and was sent straight to DVD on December 8, 2009.",Who starred in the film Hurricane Season ?,yes,starring forest whitaker,avoid identification,4025
Strippers on a pole with police and others gathered around for the show .,Why did someone gather somewhere?,no,party,violin,11323
"Ruby Alice Tandoh (born 4 July 1992) is a British baker, columnist, author, and former model. She rose to fame after becoming a runner-up on series four of BBC's The Great British Bake Off in 2013.",What kind of bake Off did Ruby Alice Tandoh win ?,yes,great british bake,item songs,1896
"Upon the publication of Overworld, Kolb was again recruited, this time by the Department of Homeland Security, to help investigate two white collar criminals with connections to the CIA. Kolb's investigation of Robert Sensi and Richard Hirschfeld led him to discover and foil a conspiracy to smear the John Kerry 2004 presidential campaign with false links to Al Qaeda. This became the subject of his 2007 book America at Night, which was reviewed by The New York Times on January 25, 2007.In The Unending Game: A Former R&AW Chief's Insights into Espionage, Vikram Sood, retired chief of India's foreign intelligence service Research and Analysis Wing (R&AW), devotes a chapter to Kolb's operations in India, and calls Kolb ""multi-talented, a kind of real-life James Bond with Bond's legendary luck with women and the subtlety of a John le Carré character.""",How much of his book on Kolb is devoted to Kolb ' s operations in India ?,yes,"aw ), devotes",evaluate risky sexual behavior,2222
"Drenge are an English three-piece rock band made up of Eoin Loveless, on guitar and vocals, his younger brother Rory, on drums, and Rob Graham on bass. The brothers grew up in Castleton, Derbyshire, where they formed the band in 2010, relocating to Sheffield in 2014. They have released two albums, Drenge in 2013 and Undertow in 2015.",Who is the lead singer of Drenge ?,yes,eoin loveless,primary position,1432
People stand along the sidewalk watching a building come their way .,What is someone watching?,no,a bus,work done,10574
"CubeStormer II is a robot built primarily with Lego Mindstorms and a Samsung Galaxy S2 for solving a Rubik's Cube. The project was commissioned by ARM Holdings and designed and built by Mike Dobson and David Gilday.CubeStormer II set a Guinness World Record of 5.270s for the fastest robot solving a Rubik's Cube on 11th Nov 2011 in the presence of the editor-in-chief of Guinness World Records in Wired.co.uk's offices in London.The record has already been beaten by its successor, the CubeStormer III, which is controlled by a Samsung Galaxy S4, the new record is now 3.253 seconds.",What was the main purpose of CubeStormer II ?,yes,robot built primarily,every hours,4984
"Unplugged is a live album and DVD by the American rock band Alice in Chains, released on July 30, 1996 by Columbia Records. It was recorded on April 10, 1996 at the Brooklyn Academy of Music's Majestic Theatre for the television series MTV Unplugged. The show was directed by Joe Perota and first aired on MTV on May 28, 1996. The MTV Unplugged was Alice in Chains' first concert in two and a half years, and contains live, acoustic versions of the band's biggest hits and lesser-known songs. A new song, ""The Killer Is Me"", was performed for the first time during the concert. The acoustic version of ""Over Now"" (originally released on Alice in Chains' 1995 self-titled album) was released as a single. The album debuted at No. 3 on the Billboard 200 chart, and has been certified platinum by the RIAA. The performance was released on DVD on October 26, 1999, and re-released as a CD/DVD package featuring unaired footage on September 18, 2007. The home video release has received gold certification by RIAA.",How did the MTV Unplugged show impact on the public ?,yes,first aired,about 10 am,7094
"A fisherman cutting bait aboard his boat , which is moored at the dock , while pelicans swim nearby .",Where is something moored?,no,beach,content,11635
"'This approach has been echoed by Lev Landau and Evgeny Lifshitz, and others, and has become popular.",How many did it take to become standard?,no,hours,being,729
Causal orchestra they play in a church sanctuary as the stain glass window and elegant columns stand boldly behind them .,Who plays somewhere?,no,Causal orchestra members,custom applications,10224
"'Whatever their origins, their nature evolved under the presence and influence of foreign forces.",When is this evolution expected,no,within a few weeks,e sanʿatī āq qalā,596
"The Ladies' Mile Historic District was a prime shopping district in Manhattan, New York City at the end of the 19th century, serving the well-to-do ""carriage trade"" of the city. It was designated in May 1989, by the New York City Landmark Preservation Commission to preserve an irregular district of 440 buildings on 28 blocks and parts of blocks, from roughly 15th Street to 24th Street and from Park Avenue South to west of the Avenue of the Americas (Sixth Avenue). Community groups such as the Drive to Protect the Ladies' Mile District and the Historic Districts Council campaigned heavily for the status.The Ladies' Mile Historic District contains mostly multi-story store and loft buildings. These buildings became common after 1899 when laws prohibited combined home and production areas without a permit, causing people who had previously worked at home to seek commercial spaces; the rise of unions which advocated for better working conditions also contributed to the development.",When was the Ladies ' Mile Historic District created ?,yes,19th century,select candidates,5994
"Polypodiineae is a suborder of ferns in the order Polypodiales. It is equivalent to the clade eupolypods I in earlier systems, and to the very broadly defined family Polypodiaceae in the classification of Christenhusz & Chase (2014). It probably diverged from the suborder Aspleniineae (eupolypods II) during the mid-Cretaceous.  The divergence is supported by both molecular data and an often overlooked morphological characteristic which lies in the vasculature of the petiole.  Most species that make up the suborder have three vascular bundles.  The only exceptions are the grammitid ferns which have one, and the genus Hypodematium which has two.  This differs from eupolypods II which mostly have two vascular bundles (except the well-nested blechnoid ferns which generally have at least three).",What order are ferns in ?,yes,order polypodiales,20th street parent trigger,7955
"A group of children and adults are gathered in an outdoor desert setting as if preparing for or returning from an outing , with several kids wearing matching light blue backpacks and a Saguaro cactus in the far left background .",Who is matching something?,no,groups,she doubted that kind of performance is sustainable,10741
A farmer fertilizing his garden with manure with a horse and wagon .,What is something fertilized with?,yes,manure,11 may 1941 – 24 january 2016,9893
"The 2019–20 Sheffield Shield season was the 118th season of the Sheffield Shield, the domestic first-class cricket competition in Australia. It began on 10 October 2019 and was scheduled to finish on 31 March 2020. The first four rounds took place prior to the international Test series against Pakistan, and in addition the season breaks for the Big Bash League. Victoria were the defending champions.In December 2019, during the sixth round match between Victoria and Western Australia at the Melbourne Cricket Ground, play was suspended after 40 overs on the first day due to a dangerous pitch. Following another inspection on the second day, the match was called off. During the same round, the match at the Sydney Cricket Ground between New South Wales and Queensland was played under a smoke cloud from the Australian bushfires.The final round of matches and the final were cancelled due to the COVID-19 pandemic. The title was subsequently awarded to New South Wales, who finished on top of the points table after the nine rounds that were played. It was the 47th time that New South Wales had won the title. On 25 March 2020, Cricket Australia named Moises Henriques and Nic Maddinson as the joint winners of player of the season.",Who was the joint winner of player of the season ?,yes,nic maddinson,on the street,3426
"Amy Thiessen is a Canadian singer-songwriter from Calgary.Thiessen's debut full-length album was Give Up The Fight,",What is the name of Amy Thiessen ' s album ?,yes,debut full,despite wearing,5905
"Olga Eduardovna Landik (Russian: Ольга Эдуардовна Ландик; born 2 January 1980) is a retired Russian breaststroke swimmer who won a silver medal in the 4×100 m medley relay at the 1997 European Aquatics Championships. She also competed in the 100 m breaststroke at the 1996 Summer Olympics.Landik started swimming in a club since 1987, and in 1994 won a gold medal at the Junior European Championships. During her career she won 10 national senior titles. After retirement, she worked as a swimming coach (1998-2000) and then as a stylist. In 2003, she graduated with honors from a Sports Academy and later enrolled to the Saint Petersburg State Polytechnical University.",What is Landik ' s Russian name ?,yes,ольга эдуардовна ландик,look,5210
"YouTube is an American online video-sharing platform headquartered in San Bruno, California. Three former PayPal employees—Chad Hurley, Steve Chen, and Jawed Karim—created the service in February 2005. Google bought the site in November 2006 for US$1.65 billion; YouTube now operates as one of Google's subsidiaries.",How much did Google pay for youtube ?,yes,65 billion,novardok yeshivas,5506
Two men are lying in red cots on the side of a mountain .,Where is someone lying?,yes,cots,small area,9325
A fancily dressed elderly man plays a baritone as it is set aflame .,What does someone play?,no,song,old planer,11739
"Spalding was born at New Malden, Surrey, England, and educated at King's College School, Wimbledon. He received his BA degree in Engineering Science from Oxford University in 1944 and PhD from Cambridge University in 1952. He joined the Department of Mechanical Engineering at Imperial College in 1954 as a Reader in Heat Transfer. On his promotion to Professor of Heat Transfer in 1958 he gave his inaugural lecture entitled Heat Transfer in Rocket Motors. He was the founder of the company Concentration Heat And Momentum Limited, (CHAM) specialising in computational fluid dynamics and heat transfer processes. CHAM's major product is the widely used PHOENICS CFD code. Spalding himself was the main creator of, and contributor to, PHOENICS.",What was the main focus of CHAM ?,yes,heat transfer processes,crawfish river,6811
"SV Lohhof is a German association football club from the Lohhof district of Unterschleißheim, Bavaria, north of Munich. The footballers are part of a sports club that includes departments for athletics, badminton, gymnastics, martial arts, swimming, table tennis, tennis, volleyball, as well as fitness and rehabilitation programs.",What kind of programs does the sports club have ?,yes,rehabilitation programs,habitat loss,6162
"The 1959–60 New York Rangers season was the 34th season for the team in the National Hockey League (NHL). In the regular season, the Rangers had a 17–38–15 record, and finished with 49 points. Their last-place finish caused them to miss the NHL playoffs.",How many points did the New York Rangers have in the regular season ?,yes,49 points,what,1612
