question,label,answerA,answerB,answerC,answerD,id
name a game teenagers play at parties,C,drums,grease,twister,budweiser,374_protoqa
name something you use in the home that has a wooden handle.,D,slice,sticks,wax,spoon,809_protoqa
name something parents get tired of reminding their kids to do.,D,math,studying,exam,homework,3832_protoqa
name something that might not look right if you got ready without looking in the mirror.,A,hair,glasses,nails,eye,3044_protoqa
what's the worst apest of flying?,B,flooded,crashing,disappearing,shutting,6443_protoqa
name something people bring with them to their high school reunion.,B,images,photos,page,photo,854_protoqa
name a day to display the flag.,B,life,everyday,friends,together,3963_protoqa
"on a bright, sunny day, why would you leave the beach?",B,swollen,sunburn,lightening,bruise,822_protoqa
name a place where you might see lots of minivans in the parking lot.,D,already,half,later,school,6859_protoqa
name a job that people did more 100 years ago than today.,A,farmer,farm,shepherd,widow,91_protoqa
name something important you keep in your glove compartment:,D,admission,membership,entry,registration,2653_protoqa
name an appliance you have only one of.,C,flavored,soap,toaster,flavoured,3338_protoqa
name a great toy for a child who likes to build things.,B,pokemon,lego,wars,transformers,1951_protoqa
name an activity you wouldn't want to do in the rain,C,somewhere,around,walk,down,725_protoqa
if you could describe yourself as a shape name the shape you would be,C,leaf,shade,triangle,string,52_protoqa
they say with age comes wisdom. name something else that comes with age.,D,gaps,lowers,shrinking,wrinkles,3141_protoqa
name something a man doesn't like being turned down for.,B,kids,sex,child,porn,3951_protoqa
name a dance that is no longer hip.,B,clapton,waltz,springsteen,smaug,7263_protoqa
name a type of beverage you are allowed to drink while driving.,C,wine,food,coffee,tea,262_protoqa
name a place children are sent when they misbehave.,A,bedroom,rooms,apartment,bathroom,593_protoqa
name one thing that parents wish that their newborn babies would be able to do right away.,A,talk,know,about,tell,3983_protoqa
name something you might see on your thanksgiving table that is green.,C,bagel,cheese,salad,soup,2933_protoqa
name a place where everyone seems to be in a good mood.,C,hotel,roll,bar,square,1455_protoqa
name something you get too much of when you're a teenager.,C,math,studying,homework,exam,532_protoqa
name a term for someone who thinks very highly of himself,C,heartless,bossy,conceited,cocky,5489_protoqa
besides hot dogs name something a hot dog vendor might have on his cart.,C,lettuce,cucumber,mustard,cabbage,2176_protoqa
name something children bring home from school.,D,exam,math,studying,homework,6326_protoqa
name something you buy for a new puppy.,D,superbowl,bears,nuggets,bowl,3792_protoqa
name an animal that you see more of in the city.,B,monkey,cat,pet,dog,2263_protoqa
name something you jump on.,A,trampoline,roller,frisbee,backyard,1911_protoqa
name something you only want to do once.,A,die,wat,wie,wil,4823_protoqa
tell me a symbol used to represent love,D,deep,hearts,eyes,heart,5265_protoqa
name a sport that gets fans into a frenzy.,C,soccer,basketball,football,winning,5791_protoqa
name something that is dangerous for children to play with.,D,bullets,scissors,swords,knives,451_protoqa
name a place where people don't want to end up,B,cops,jail,quit,cop,1282_protoqa
name something snoopy does that your dog would not,C,know,tell,talk,about,159_protoqa
name a color leaves turn in the fall,A,orange,purple,green,blue,1937_protoqa
name a city that's famous for music.,B,dublin,nashville,vancouver,melbourne,756_protoqa
for what occasion in your life were you most nervous?,B,valentine,wedding,lovely,holiday,1131_protoqa
name something that a waitress on roller skates would say is her mortal enemy. (more specific than food/drinks),D,lights,rocking,white,rocks,6850_protoqa
name an occassion that all parents look forward to.,C,prom,thursday,graduation,homecoming,455_protoqa
name something a woman usually has more of than a man has.,A,clothes,shoes,glasses,pants,4904_protoqa
name something a man might wear to bed.,D,pjs,sweatpants,pyjamas,pajamas,3729_protoqa
tell me something you know about japan.,B,bikes,cars,vehicles,trucks,5303_protoqa
name something in a person's house that's left on all night.,A,refrigerator,dishwasher,heater,faucet,5671_protoqa
name something people go to that might be sold out,C,tune,stage,concert,premiere,6865_protoqa
name something vampires are afraid of.,B,darkness,daylight,'til,anticipation,5082_protoqa
name something a woman might put in her hair.,A,barrette,boulanger,chenille,cadran,1531_protoqa
name a sport that a lot of senior citizens play.,A,golf,gear,bowling,tennis,3891_protoqa
name an animal a child dreams about owning.,D,monkey,cat,dogs,dog,464_protoqa
instead of a schoolbus how might a wealthy kid get to school,C,dealership,trolley,limo,cab,40_protoqa
name something new parents have to get used to.,C,dying,asleep,crying,laughing,407_protoqa
name something that a very tall person might hit their head on in an unfamiliar house.,A,doorway,darkened,footsteps,barging,305_protoqa
"if you were called to take part in an amateur talent contest, name something you might do.",C,meh,jane,sing,jare,2206_protoqa
name a worry you have now that you didn't when you were 10 years old.,A,money,cash,some,pay,2853_protoqa
name the best place to be on a winter night,A,home,out,here,house,6834_protoqa
name something you'd find in a punk rocker's bedroom,D,cover,drum,theme,guitar,301_protoqa
name a phone number that many people have on speed dial.,B,actual,doctor,has,doc,4027_protoqa
name something adults buy that can be very small or very large.,D,video,channel,radio,tv,2349_protoqa
name a type of contest you might enter at a county fair,A,eating,eat,smoking,drinking,2392_protoqa
name a type of baby food that looks gross but babies love.,C,chilli,macaroni,peas,watermelon,4821_protoqa
name something you'd hate to discover had expired.,C,bread,sugar,milk,butter,7067_protoqa
"if you were wearing a swimsuit, name a place you might not be allowed into.",B,bakery,restaurant,village,ikea,3311_protoqa
name a word you would use to describe a mobster.,C,digger,frail,crook,calliou,425_protoqa
name a place where you might see lots of police officers,B,stage,concert,premiere,tune,4682_protoqa
name something people know more about if they read the tabloids in the checkout line.,D,monkeys,vampires,superheroes,aliens,354_protoqa
which state has the most lawyers?,D,valley,florida,texas,california,7560_protoqa
name a place people go to escape the heat.,A,indoors,situated,elsewhere,hydrated,5932_protoqa
name a sport that doesn't include a ball.,C,tennis,football,hockey,rugby,5110_protoqa
tell me something you might find in a bankrobber's suitcase.,C,some,cash,money,pay,112_protoqa
if your company was saving money name something that might not be at the holiday party,D,drink,wine,coffee,food,1153_protoqa
name a u.s. state with a lot of beaches.,B,chicago,florida,georgia,texas,1623_protoqa
tell me a kind of shoe you would never wear to a formal wedding.,A,sneakers,jordans,shirts,studs,2065_protoqa
name something you would not want to watch your child playing with.,A,fire,street,into,run,7259_protoqa
name an article of clothing that children are always losing,D,pants,boots,shoes,socks,1188_protoqa
we asked women where do you wish your partner was more willing to go with you,A,shopping,shops,shop,home,7541_protoqa
name something a person who loses 100 pounds suddenly has more of.,D,'re,guys,all,friends,3046_protoqa
"tell me what you know about ""the terminator"".",C,gov.,christie,governor,senator,993_protoqa
fill in the blank: it's hard to find a good _______.,D,bad,was,i,man,4329_protoqa
"instead of the usual instrumental music, what kind of music would you be surprised to hear playing in an elevator?",A,rock,pop,mix,monster,2210_protoqa
name something you take extra time to do when guests are coming over.,B,wash,clean,stick,flat,784_protoqa
name an animal you might hear in the forest at night.,C,unicorn,rainbow,owl,mermaid,873_protoqa
name a reason why it's harder to get out of bed on some days than on others.,B,sleep,tired,sleepy,sick,2511_protoqa
"if a witch was not paying attention to where she was flying, name something she might crash into.",B,bath,tree,flowers,garden,1162_protoqa
name something you eat that can be described as juicy,B,green,orange,blue,purple,2328_protoqa
what do people miss about their youth,A,energy,system,supply,boost,4215_protoqa
"unlike dogs, name a type of pet that people don't count on to guard their house.",D,pet,monkey,dog,cat,7498_protoqa
name a food that is often served with white wine.,D,egg,chicken,meat,fish,5121_protoqa
tell me a smell most people hate,C,wad,mule,skunk,jew,6370_protoqa
besides blueberry name a kind of muffin people eat at breakfast.,A,bran,shea,charcoal,stevia,4298_protoqa
name a diet method that doesn't seem very reliable.,B,thanking,fasting,joys,prayer,6723_protoqa
name something in the house that slobs hardly ever use.,A,vacuum,cleaner,dryer,heater,3654_protoqa
name something people call the police to report.,B,break-in,burglary,robbery,hit-and-run,6158_protoqa
name somebody so rich that their name is synonymous with wealth,C,banks,warren,trump,gates,4553_protoqa
name an animal in a pet store that probably wouldn't attack someone.,D,turtles,pineapple,peanuts,goldfish,6691_protoqa
name something working women spend more money on than housewives.,D,make-up,nail,glasses,makeup,7242_protoqa
name a food people stir while it's cooking.,D,pudding,cheese,salad,soup,7194_protoqa
name a type of poster a yearold boy might have on his,C,football,games,sports,soccer,291_protoqa
name something you would give up if you were training for a marathon.,C,chocolate,coke,candy,milk,551_protoqa
name something people snack on between meals.,D,fries,donuts,cheese,chips,4082_protoqa
name something you failed miserably at the first time you tried it.,D,moving,running,sitting,driving,6901_protoqa
"name a high school subject kids might take to get an easy ""a.""",A,art,design,beauty,urban,5655_protoqa
name something that politicians would be better off without,C,talks,nbc,scandal,bbc,2387_protoqa
name an activity that requires moving your hips.,B,naked,dancing,singing,watching,5532_protoqa
name something that gets delivered to your door.,B,app,mail,account,link,5713_protoqa
name something most people bring with them when they go to work,A,lunch,breakfast,dinner,holiday,391_protoqa
name something religious that is found in many homes.,A,cross,carry,into,side,2787_protoqa
name something you would need in order to play a game of basketball.,C,football,soccer,basketball,baseball,7389_protoqa
name something from the ocean that you'd never find on a restaurant menu,C,squirrel,goat,whale,dolphin,3491_protoqa
"if you had a box in the attic labeled ""wedding,"" name something that would be in it.",A,dress,skirt,heels,dresses,1145_protoqa
name a country in which auto racing is a big sport.,A,france,paris,lyon,grand,5926_protoqa
name a public place where you wish people wouldn't take their dog.,D,hall,square,hill,park,4973_protoqa
name one of the occupations represented in the disco group the village people.,C,officials,suspect,police,court,2893_protoqa
name something in your house that's over fifty years old.,B,whats,me,a,no,4853_protoqa
name something that celebrities and young children have in common,A,spoiled,fuckers,spoilt,grown,342_protoqa
"other than rain, name a reason a person might close the top of their convertible.",B,rainy,windy,chilly,swell,3096_protoqa
name something you might do with your fingers but not your toes,B,bake,eat,drink,bread,3484_protoqa
what in a crime scene would an investigator check for fingerprints,A,weapon,command,powers,identity,998_protoqa
what is your favorite casino in las vegas to lose all your money at?,D,hermitage,radisson,mandalay,luxor,6447_protoqa
name something you might get hit with if you were at the park.,C,kick,round,ball,heat,412_protoqa
name a kind of place where people pretend to be paying attention.,C,already,later,school,half,4978_protoqa
name a reason why a boss calls an employee into his office,A,lateness,premeditation,excused,patètic,5717_protoqa
name a topping you'd put on both a pizza and a taco.,C,fries,salad,cheese,peanut,499_protoqa
"when you're on a bad blind date, name something you wish you could be doing instead.",C,laying,asleep,sleeping,while,4264_protoqa
name something you must be legally old enough to do.,D,eat,bread,bake,drink,96_protoqa
what type of healthy lunchbox foods would kids most want to trade for junk food?,A,fruit,butter,milk,pineapple,3243_protoqa
"tell me something you would let your dog do, but not your child.",B,punch,lick,rub,squeeze,2033_protoqa
tell me how old a woman is before she starts lying about her age. # only,C,hundred,twelve,thirty,twenty,7467_protoqa
name a horror movie that's had a lot of sequels.,D,yell,breathe,cry,scream,2838_protoqa
name a fruit you don't need to peel to eat.,A,apples,tomatoes,grapes,onions,4856_protoqa
name a fruit that's messy when you eat it.,A,watermelon,grape,sour,pineapple,5103_protoqa
what are a couch potato's favorite hobbies.,D,eat,smoking,drinking,eating,1051_protoqa
name something a mom might make her daughter wait til shes years old to do,B,straighten,shave,legs,thighs,4629_protoqa
name something a person owns that reflects their personality.,B,front,car,truck,on,4131_protoqa
name a reason a person might wear a disguise.,D,singer,favourite,celeb,celebrity,1390_protoqa
"name something a king has, but most men don't.",C,gold,golden,crown,platinum,260_protoqa
tell me an animal that people usually don't like to eat.,C,cat,dogs,dog,monkey,3137_protoqa
name an animal you expect to see on an african safari.,B,devils,lions,eagles,warriors,212_protoqa
name something about dr. phil that comedians make fun of.,D,sag,thick,hat,bald,553_protoqa
"real or fictional, name a famous male who wears tights.",B,spiderman,superman,alien,batman,3105_protoqa
name the one thing you just don't want to do first thing in the morning.,D,bake,drink,bread,eat,60_protoqa
name something specific that's hard to keep clean:,C,on,truck,car,front,7268_protoqa
"when you have a headache, name something it hurts to do.",C,really,know,think,n't,3178_protoqa
name an animal that a person with large teeth resemble.,D,deer,elephant,moose,beaver,3330_protoqa
name an aisle in the supermarket where you spend a lot of time.,C,alcohol,consume,produce,reduce,1673_protoqa
name an animal you'd recognize by a picture of its ears.,D,giraffe,dolphin,turtle,elephant,2678_protoqa
"name a famous person named ""jane"".",D,basilica,mccarren,genovia,fonda,6048_protoqa
name a way you can tell a person has a cold.,A,coughing,shaking,vomiting,sneezing,5875_protoqa
name a fruit that grows on a tree.,D,microsoft,galaxy,windows,apple,5986_protoqa
name something a mom shouldn't still have to do for her grown-up son.,B,washing,laundry,cleaning,dishes,6063_protoqa
name something a woman might want her husband to quit doing before they have children,C,weed,drinking,smoking,smoke,1245_protoqa
what might a rock star do at a concert hall that prevents him form getting hired again,C,dude,thats,swear,cuz,119_protoqa
name an instrument that you'd need to be really coordinated to play.,C,playlist,gangnam,piano,guitar,6621_protoqa
name a famous singer who is also an actress.,B,stinson,streisand,legolas,effie,517_protoqa
name someone you might call if you thought your house was haunted.,D,orphan,widow,preacher,priest,5691_protoqa
name something that is important to a man when choosing a restaurant to take his date to.,D,options,costs,deals,prices,2646_protoqa
name a job where you might have your name on the front of your shirt.,D,handyman,technicians,telemarketer,salesperson,5643_protoqa
name a major u.s. city whose mayor has major headaches.,A,chicago,texas,detroit,florida,1610_protoqa
name something you do while waiting in line,D,answer,what,write,read,1260_protoqa
name an animal that a pirate would most likely have on his ship.,C,gorilla,butcher,parrot,lizard,2499_protoqa
name an article of clothing you cant wash in the wash machine,A,shoes,boots,socks,shoe,1360_protoqa
tell me something people think needs saving.,C,some,cash,money,pay,3150_protoqa
"if you could be a rockstar for one night, what's the first thing you'd want to do?",B,market,travel,express,visit,6553_protoqa
name something of yours that's falling apart.,C,skin,clean,body,eye,2718_protoqa
name a fruit that has a peel.,D,eloise,antoinette,waldorf,clementine,1609_protoqa
name a living thing that hops.,A,frog,turtle,lizard,rabbit,4064_protoqa
name something you worry about before falling asleep at night.,D,cash,pay,some,money,4010_protoqa
name something that causes yo to become friends with someone you otherwise wouldn't have,B,cash,money,pay,some,4375_protoqa
name an animal that can kill with its bite.,D,turtle,tail,spider,snake,7061_protoqa
name something people imagine they'd see on every street in hollywood,D,actors,dating,celebs,celebrities,2261_protoqa
name a day that is considered especially bad to break up on.,B,welcome,birthday,happy,bday,7249_protoqa
"if you don't have a ruler, name something you use to measure things with.",A,feet,bottom,wet,toes,1176_protoqa
name something from thanksgiving dinner you couldn't carry on a plane.,B,italian,turkey,turkish,soldiers,2666_protoqa
name something a person might steal from your car that would make it impossible to drive.,D,rims,lighter,cables,tires,4048_protoqa
"name something you'd see a person do while jogging for exercise, but never if they were being chased",C,it,mine,rest,its,500_protoqa
name someone famous who wore a cape but was not a superhero,B,darth,dracula,skywalker,wolverine,6637_protoqa
tell me an invention that probably led to people having much less spare time,B,video,tv,channel,radio,111_protoqa
if you got access to a police car what's the first thing you'd want to do?,C,duty,power,speed,edge,63_protoqa
name an occasion that dracula is almost always dressed for,A,halloween,midnight,movies,mix,202_protoqa
name a profession that requires a lot of traveling.,C,spy,museum,pilot,century,488_protoqa
tell me something all little kids hate.,C,tomatoes,onions,vegetables,veggies,5307_protoqa
name something you buy to save money in the long run.,B,exchange,insurance,mortgage,banking,40_protoqa
name a reason why your kids teacher might call from school,B,feel,sick,crazy,hell,6785_protoqa
name a sign that your date isn't into you.,D,sniffles,sighs,giggles,yawns,5015_protoqa
name something you might use bricks to build.,C,room,out,house,home,2519_protoqa
"instead of a horse, which animal is it hard to imagine a cowboy riding?",D,pig,monkey,rat,cow,33_protoqa
name something you're not supposed to do while filling your gas tank.,C,smoking,burn,smoke,weed,101_protoqa
name something people have second thoughts about doing.,D,spend,paying,raising,spending,6224_protoqa
name someone you might see in a parade.,B,dimwits,buffoons,dolts,wackos,3876_protoqa
what one convenience do you think you'd miss most on a camping trip?,C,stuck,bathroom,toilet,flat,6471_protoqa
name something you might learn how to do in the boy scouts,A,camping,tent,pool,picnic,5570_protoqa
name something you bring to a party even if the host doesn't ask you to bring anything,B,vodka,alcohol,produce,consume,6635_protoqa
name something about shaquille o'neal that's huge?,D,bottom,toes,wet,feet,768_protoqa
tell me something you'd better remember to put on in the morning or you won't feel right all day.,C,eyeliner,vaseline,deodorant,concealer,827_protoqa
name the toughest part about owning an elephant as a pet.,D,stealing,smoking,hiding,feeding,569_protoqa
name something you might put on top of a salad.,A,dressing,posh,eating,fancy,2478_protoqa
name a food that would be disgusting to be fed romantically,D,meat,egg,chicken,fish,367_protoqa
name something you find in the waiting room of a doctor's office.,A,magazines,ads,versions,websites,3894_protoqa
"if you couldn't be smart, what would you prefer to be?",B,love,beautiful,lovely,gorgeous,6576_protoqa
name something that you keep an especially close eye on during a trip because you're afraid of losing it.,A,kids,old,other,all,1576_protoqa
name a u.s. city that's on the coast.,A,miami,chicago,seattle,dallas,5848_protoqa
name a way people try to make themselves look younger.,A,makeup,glasses,nail,make-up,2964_protoqa
name a kids halloween costume that you can make at the very last minute.,C,kid,sound,ghost,movie,2926_protoqa
name a job where you must keep a certain haircut.,C,court,officials,police,suspect,4595_protoqa
before visiting a new city name something for which you might get a recommendation,B,village,restaurant,ikea,bakery,717_protoqa
name something you need to eat before it melts.,B,vodka,chocolate,banana,nutella,3340_protoqa
name a country where it's hot all year around.,B,argentina,mexico,chile,panama,1854_protoqa
"if there is a doggy heaven, name something it probably has a lot of.",D,bleed,scars,stones,bones,4345_protoqa
"name something specific a child does that causes his mom to give ""the look.""",D,hear,laugh,everytime,cry,4845_protoqa
name something you should probably book ahead of time if youre going on vacation,A,hotel,park,cafe,york,4433_protoqa
name something that both men and women use to get ready for a date,C,bath,floor,shower,room,4689_protoqa
name something that changes in a before-and-after photo on an infomercial.,C,easy,healthy,weight,exercise,5888_protoqa
name a place where people hide things.,D,paint,bathroom,tube,closet,3994_protoqa
name something a hitchhiker might do to get noticed.,A,wave,wheel,edge,zone,1261_protoqa
name something people expect to see in beverly hills.,B,acorns,mansions,corpses,nesting,2765_protoqa
name some place you might find your cat hiding.,C,hobbies,cafes,closets,toiletries,3841_protoqa
name a place that is usually very loud.,A,concert,premiere,tune,stage,3716_protoqa
"when you're on a plane flight, name something you worry the pilot is doing in the cockpit.",B,laying,sleeping,while,asleep,2145_protoqa
name something you might find on the bottom of a shoe.,A,gum,chewing,sticks,slice,1729_protoqa
name a piece of furniture that is often made from wood.,B,drawer,dresser,drawers,stool,3037_protoqa
name something the country of china is known for.,B,socialism,communism,capitalism,fascism,6238_protoqa
name something specific that gets brushed.,D,glasses,eye,nails,hair,1587_protoqa
name something you might see at a high school homecoming,B,princess,queen,king,lady,5591_protoqa
whats the first thing a husband does when he finds out his wife is pregnant,B,everytime,cry,laugh,hear,6410_protoqa
name an animal thats blackandwhite,D,leopard,lipstick,polka,zebra,2448_protoqa
tell me a situation where it is difficult to keep your cool.,C,sense,mistake,argument,situation,7479_protoqa
we asked married people after how many did you know your partner was the one,B,all,one,only,every,7537_protoqa
name a kind of place where it's easy to catch other people's germs.,C,actual,doc,doctor,has,4119_protoqa
tell me a type of dog that wouldn't make a good seeing eye dog.,C,labrador,cocker,chihuahua,corral,7489_protoqa
name something people do for luck.,B,prayer,prayers,praying,blessing,74_protoqa
we surveyed 100 married women...name a famous store you wish your husband owned.,C,walmart,kroger,wal-mart,outlets,6450_protoqa
name something that prevents you from seeing for miles,D,temperature,patchy,wind,fog,4693_protoqa
name something dogs do a lot of during the dog days of summer.,A,sleep,wake,awake,tired,632_protoqa
how would you enter a swimming pool if you wanted to get noticed.,C,drag,jump,dive,swim,359_protoqa
name one thing about a vacation that costs the most money.,C,round-trip,debenhams,airfare,roundtrip,5947_protoqa
name something you might find in the godfather's basement.,B,holes,bodies,mouths,brains,6624_protoqa
name something you might see at a church gift shop.,B,poetry,bible,scripture,stories,6758_protoqa
name an animal you might see on old mcdonald's farm.,C,pig,rat,cow,monkey,7221_protoqa
tell me how fast most people drive on the freeway. (numeric only),D,fourty,sixty,eighty,seventy,341_protoqa
name an animal that eats leaves.,B,dorito,koala,albino,husky,6253_protoqa
name a punishment children get for bad behavior that wouldn't be very effective to use on criminals.,A,spanking,fisting,handjob,sass,6134_protoqa
name something you might do before an operation.,A,prayers,praying,blessing,prayer,5872_protoqa
name a candy that comes in different colors,D,sour,frosted,loops,skittles,1406_protoqa
name something people pose in front of for their christmas photos.,A,tree,bath,garden,flowers,6643_protoqa
tell me something that floats on the water.,A,people,other,especially,those,991_protoqa
name something people wore more of in the 1800s than they do today,B,laces,wigs,booties,headbands,1366_protoqa
name something babies throw out of the crib.,A,rattle,castles,horns,flames,174_protoqa
name something cartoon villains are always doing that lets you know they're bad,A,stealing,calling,claiming,feeding,3560_protoqa
name something in cars now that you cant believe people once went without,C,vertical,cassette,stereo,titanium,5666_protoqa
what's the best man responsible for at a wedding?,D,hand,bow,tie,ring,5367_protoqa
name a food that gets bigger when you cook it.,B,meat,bread,corn,noodles,1918_protoqa
tell me something in a teenager's room that they wouldn't want touched,A,diary,novel,book,quote,223_protoqa
"besides shoes, name something people buy for their feet.",C,pants,boots,socks,shoes,4319_protoqa
what was your proudest achievement when you were a child?,A,grades,period,exams,assignments,6444_protoqa
name something your mom told you was the key to a happy marriage,D,you,baby,miss,love,3433_protoqa
name something a housekeeper uses as part of her job,B,dryer,vacuum,heater,cleaner,1249_protoqa
name a word that most people yell at their dogs.,D,me,a,yo,no,3635_protoqa
name a gift that a new mom is bound to get duplicates of at a baby shower,C,wallets,mugs,diapers,nappies,159_protoqa
name something you might grow in your garden.,A,tomatoes,mushrooms,olives,onions,2834_protoqa
name something you think of when you think of japan.,A,sushi,coffe,burger,pizza,89_protoqa
name a famous woman with abs of steel.,B,perry,madonna,miley,sheeran,2563_protoqa
name something a school wastebasket is probably full of,B,assignment,paper,class,blank,5649_protoqa
name a hygiene product that you hope your office mate uses every day,C,dish,wax,soap,spoon,280_protoqa
name something dog owners probably wish their dogs never did,D,flake,slug,tails,bark,2369_protoqa
name a kind of place that's not much fun to go to unless you have a lot of spending money.,D,pub,resort,village,casino,7066_protoqa
tell me something spies wear to disguise their identity,D,purse,scarf,leather,sunglasses,6368_protoqa
"when you move to a new city, name something that you have to fine a new one of.",C,out,home,house,room,588_protoqa
tell me something fast-food employees always give you too much of.,D,cloths,towels,trays,napkins,6369_protoqa
name someone who wears white gloves,D,actual,has,doc,doctor,2504_protoqa
name something you would get on a thanksgiving pizza.,A,turkey,soldiers,italian,turkish,2575_protoqa
name something a woman's doctor might advise her not to wear.,D,nylons,fishnet,fishnets,pantyhose,211_protoqa
name an occupation you put your trust in and hope they know what they're doing.,A,doctor,doc,has,actual,909_protoqa
something in a woman's purse that's not in a man's wallet.,C,color,shampoo,perfume,mouse,3106_protoqa
name a position that most companies have.,B,agent,ceo,executive,founder,7114_protoqa
name something people shoot.,A,animals,pets,dogs,cats,3941_protoqa
name something you keep in a garden shed.,D,jacobs,kors,bentley,spade,685_protoqa
name something most burglars never steal during a home robbery.,B,pants,clothes,shoes,glasses,4742_protoqa
name something that people get removed from their body,A,mole,pau,peixe,soco,48_protoqa
name something a friend might do in your car that would irritate you.,D,burn,weed,smoking,smoke,860_protoqa
we surveyed 100 married men...name something you get every single valentine's day.,C,cards,price,card,discount,1089_protoqa
name a color baby clothes comes in.,D,sweater,purple,blue,pink,347_protoqa
what's the one worst aspect of flying on a plane?,D,disappearing,shutting,flooded,crashing,4269_protoqa
name a type of ball you would be surprised to see a golfer tee of with.,C,football,baseball,basketball,soccer,573_protoqa
name something men put in their shirt pockets,B,cash,money,pay,some,3544_protoqa
name something people brag about.,A,kids,old,other,all,42_protoqa
name the first sign that you're getting a cold.,C,sniffling,coughing,sneezing,puking,2878_protoqa
which command should a horse understand before you ride it?,C,talk,leave,stop,quit,1060_protoqa
name something you might hook up to your tv.,B,cd,dvd,hd,ep,264_protoqa
name something in your house you wish were just a little bit bigger,B,video,tv,channel,radio,6801_protoqa
"other than letter and punctuation keys, which computer key would you not want to type a report without?",D,available,cards,purchase,enter,927_protoqa
name something that's better to do in the dark.,A,sleep,wake,awake,tired,2824_protoqa
100 woman surveyed: people promise to marry for better or worse. name something that turned out better than you expected.,A,love,miss,you,baby,6449_protoqa
name something you might change when moving into a new house.,B,photoshoot,carpet,backstage,runway,158_protoqa
name an accessory almost every woman wears.,D,necklace,bracelet,scarf,earrings,1802_protoqa
name the place where you'd most hate to be stood up.,B,holiday,wedding,valentine,lovely,6076_protoqa
name an article of clothing that would be silly to wear in the snow.,C,tights,socks,shorts,jeans,5828_protoqa
name a place where people like to read the morning newspaper.,B,window,bathroom,floor,bedroom,1649_protoqa
"other than stars' salaries, name the most expensive thing that goes into making a movie.",C,four,split,sets,doubles,220_protoqa
name something that a girl with lots of brothers might know more about.,C,soccer,games,sports,football,334_protoqa
name an event you might have a lot of leftovers from,D,brunch,easter,holidays,thanksgiving,237_protoqa
name a special occasion for which someone might go to a hairdresser,C,lovely,valentine,wedding,holiday,187_protoqa
name something that usually stops after a couple gets married,D,kindness,generosity,sympathy,affection,380_protoqa
what would you hate to have happen when driving home in a brand new car,D,crash,incident,traffic,accident,2092_protoqa
tell me something you've accidentally dropped in the toilet.,B,line,phone,text,id,2031_protoqa
name a pet that doesn't require much maintenance.,A,fish,chicken,meat,egg,5778_protoqa
name a word that people use to avoid swearing.,D,frickin,effing,friggin,darn,2381_protoqa
at what age might a man have midlifecrisis?,D,seventy,sixty,twenty,forty,3_protoqa
name a reason a woman might be looking better than ever.,B,exercise,diet,protein,healthy,3629_protoqa
name something that doesn't stay clean for long after wash it:,B,truck,car,front,on,1816_protoqa
name something that might motivate a man to lose weight.,D,girlfriend,fangirl,famous,dating,5062_protoqa
who or what might enter a house without using the front door?,B,shoots,burglar,robber,motorcyclist,1045_protoqa
"when you break up with someone, name something of theirs you throw away.",A,pictures,pics,picture,selfie,3221_protoqa
name something a kid might do that would get them kicked out of a public swimming pool,A,urinating,overdosing,defecating,toppling,316_protoqa
name a professional that charges you for advice.,A,therapist,inpatient,physician,nurse,5748_protoqa
what part of your spouse's body is always cold?,B,wet,feet,bottom,toes,3237_protoqa
tell me the worst place to celebrate valentine's day.,B,quit,jail,cops,cop,2079_protoqa
name something you might see in a country western music video.,A,guitar,theme,cover,drum,2516_protoqa
name something that squirts when you least expect it.,B,love,baby,my,boy,2972_protoqa
name a christmas show that is on tv every year.,D,pippin,malfoy,dumbo,rudolph,2438_protoqa
name something you might find in a closet.,B,pants,clothes,shoes,glasses,7422_protoqa
name something that has a shell.,D,monkeys,mice,goats,turtles,6014_protoqa
name something that college students get stolen from them on campus,A,computer,cell,camera,device,1427_protoqa
name something a man might put on belonging to his wife if he got dressed in the dark.,A,shirt,jacket,pair,shirts,5803_protoqa
name a country people go to ski,D,morocco,belgium,norway,switzerland,5076_protoqa
name something people do when they are happy.,B,heart,smile,kiss,hug,2745_protoqa
"when you hear a strange noise in the house during the night, exactly what do you do about it?",A,investigate,threatening,arrest,warrant,4251_protoqa
name a place that you need an id to enter.,D,hotel,square,roll,bar,4698_protoqa
name a profession that should only be done by very smart people.,C,has,doc,doctor,actual,3868_protoqa
name a sauce you wouldn't put on ice cream.,B,chips,ketchup,pringles,milk,5531_protoqa
"name something kids say they'd do if they were an adult, but that adults rarely do.",B,night,party,friday,crew,2476_protoqa
name something dogs do while riding in a car.,C,tails,slug,bark,flake,1851_protoqa
what might a teenager do that causes their parents to forbid them from using the family car?,B,bread,drink,bake,eat,6425_protoqa
name something a clown might be carrying,C,candles,confetti,balloons,covered,6754_protoqa
name something you do for regular photos but not while posing for a driver's license.,A,smile,heart,hug,kiss,7292_protoqa
name something you can't live without.,B,jet,air,toilet,lap,6037_protoqa
tell me a food that goes great with beer,C,starbucks,chocolate,pizza,pasta,5269_protoqa
name a cartoon movie that makes you cry even as an adult,C,gosling,lux,bambi,freddy,3401_protoqa
"if there were a store called ""bodybuilders-r-us,"" name something you might be able to buy there.",D,lifting,squats,workouts,weights,5462_protoqa
"to feel safer at night, name something you would go to sleep with.",A,weapon,command,powers,identity,457_protoqa
name something that could ruin a shopping trip to the mall.,A,kids,other,old,all,775_protoqa
