sentence,question,answer,label,category,id
The Minangkabau custom of freely electing their leaders provided the model for rulership elections in modern federal Malaysia.,What time do the elections occur?,3:00 AM,no,Typical Time,3252_MC_TACO
"It was huge and inefficient, and she should never have spent so many pesos on a toy, but Papa would not let her return it.",What time did she purchase the toy at the store?,she purchased the toy from the store at 12 : am,no,Typical Time,650_MC_TACO
They are able to study the DNA of the organism that no longer lives on Earth.,How long did it take to study the DNA?,one day,no,Event Duration,1858_MC_TACO
"Church is brought back to life , but is an evil shell of himself .",What did Church do next?,get revenge,yes,Event Ordering,1197_MC_TACO
"The official death toll has reached 114 -- including 66 women, 28 children and 20 men, the ministry said.",What did the ministry do after making this report?,the ministry done the most,no,Event Ordering,3263_MC_TACO
"Among the travelers were Mohamed Atta and Abdul Aziz al Omari, who arrived at the airport in Portland, Maine.",At what time did the travelers arrive at the airport?,they arrived at 04:00 am,yes,Typical Time,5924_MC_TACO
"Picasso manages to enter the building , but is prevented from killing Nunemarcher by Cross , and escapes after being shot by Kane .",Will Nunemarcher remain in the building?,yes he's killed there,no,Stationarity,3737_MC_TACO
Christianity was introduced into Gaul in the first century a.d.,How long did it take to introduce Christianity to a typical person?,a minute,no,Event Duration,9375_MC_TACO
You can clearly see the same rock layers on opposite sides of the canyon.,Did the two sides of the canyon used to be one mass?,yes,yes,Stationarity,2606_MC_TACO
"Princes and princesses judged the merits of birds, insects, flowers, roots, or seashells.",Do they still judge the merits of natural objects?,the cuckoo prefers the nests of other birds,no,Stationarity,3886_MC_TACO
"He named the house, which was completed in 1802, the ""Grange"" after his grandfather Alexander's estate in Ayrshire, Scotland.",How long did it take to complete the house?,9 days,no,Event Duration,5443_MC_TACO
"Portuguese explorers then embarked upon Macau (now Macao), the Congo, and various other parts of Africa, including the Sudan.",How often did Portugal send out  expeditions?,once per year,yes,Frequency,6932_MC_TACO
"Like the skateboarder, the higher the ramp, the faster he will be going when he reaches the bottom.",How long does it take the skateboarder to go down the highest ramp?,five hours,no,Event Duration,7638_MC_TACO
"Growing up on a farm near St. Paul, L. Mark Bailey didn't dream of becoming a judge.",What did Mark do right after he found out that he became a judge?,he buy a 45-acre horse farm,no,Event Ordering,2747_MC_TACO
"After the August missile strikes, diplomatic options to press the Taliban seemed no more promising than military options.",How often did the strikes happen,a number of times during the minute,no,Frequency,4148_MC_TACO
"When you inhale, air enters the respiratory system through your nose and ends up in your lungs, where gas exchange with the blood takes place.",How often do people need to take breaths?,people need to take breath every ten weeks,no,Frequency,2571_MC_TACO
"One day, Kevin traveled from his home in the United States of America to Erin's house in England.",How long did the trip take?,162 seconds,no,Event Duration,7851_MC_TACO
"During the ensuing Battle of Chaeronea, Philip commanded the right wing and Alexander the left, accompanied by a group of Philip's trusted generals.",Was Alexander still accompanied by a group of Philip's trusted generals the next day?,yes,yes,Stationarity,7953_MC_TACO
"After earning bachelor's and master's degrees in education and a few years teaching, Kilgore enrolled at the UM law school.",How long did it take to earn a bachelor's degree?,2 hours,no,Event Duration,852_MC_TACO
Nibras and Quso delivered money to Khallad in Bangkok during Khallad's January 2000 trip to Kuala Lumpur and Bangkok.,How often does Khallad make these trips?,every century,no,Frequency,8738_MC_TACO
"The core of our strategy is to lead in technology and attack the high-performance segments of the market, said John Kelly, senior vice president in charge of IBM's technology group.",How often does John Kelly divulge IBM's strategies?,every day,no,Frequency,9134_MC_TACO
Max seemed to be happy to have his human by his side as well as a new doggy friend.,How much time does Max like to spend with his human?,all of the time,yes,Event Duration,2213_MC_TACO
"Edwina similarly falls into disfavor with the Maharani , who explains that Safti has been raised to lead a pure life and that Edwina is unworthy of him .",How often had Edwina spoken with Safti?,50 times a day,no,Frequency,8565_MC_TACO
The Shang Dynasty gave rise to the concept of one Chinese nation under one government.,How often did the Shang Dynasty change rulers?,about every 100 to 30 years,no,Frequency,7042_MC_TACO
"He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own nuclear weapons research.",When did Roosevelt receive the letter?,1:00 AM,no,Typical Time,645_MC_TACO
Spanish rule dictated Portugal's inadvertent involvement in Spain's ongoing wars.,How long has Spain been at war?,spain has been at war for the past 0.33 years,no,Event Duration,9187_MC_TACO
"She began to tell the story of Majestic, the wild horse who could not be calmed.",How often did she tell the story?,900 times,no,Frequency,5755_MC_TACO
After wiping your feet on the mat you reach out to touch the brass knocker on the door.,How long did you wipe your feet on the mat?,1 day,no,Event Duration,1337_MC_TACO
So how do you know where light will go after it strikes a shiny surface?,What does light do after it is reflected?,gets onto another surface,yes,Event Ordering,4517_MC_TACO
"By 1930 raw-material production had tripled the figure of 1900, manufactured goods had increased twelve-fold, and heavy industry was galloping towards maturity.",At what time of the day was manufacturing occurring?,day to evening,yes,Typical Time,874_MC_TACO
"Like the skateboarder, the higher the ramp, the faster he will be going when he reaches the bottom.",How often does he use his skateboard?,every century,no,Frequency,7635_MC_TACO
Gonzo treated himself to a massage today to try to work out all of his stuntman kinks.,Was Gonzo still having a massage the next week?,no the massage lasted just a couple minutes,yes,Stationarity,7377_MC_TACO
"After several years of private practice from 1982-90, he became the judge of Decatur County Court for a year.",How often are judges elected,every six hours,no,Frequency,2420_MC_TACO
"Soaking wet, he ran toward where I was eating a sandwich on the grass and curled right up in my lap so I could make him feel better.",Is he still wet?,for 3 months,no,Stationarity,4145_MC_TACO
"During a blackout , the house is attacked by aliens , who had previously killed Joe and abducted Iris .",What did the aliens do after they attack a house?,they die,no,Event Ordering,3755_MC_TACO
"If you have ever heard, ""Eat a good breakfast"", thats why.",How often do you eat a good breakfast?,every day,yes,Frequency,6988_MC_TACO
"In the aftermath of Massaga and Ora, numerous Assakenians fled to the fortress of Aornos.",How often did the Assakenians flee?,once,yes,Frequency,2898_MC_TACO
"When our cars burn gasoline in their engines, it is converted into motion and heat.",Is an engine burning gasoline indefinitely?,maybe,no,Stationarity,6591_MC_TACO
"The program avoids legal jargon, offers a courthouse video tour and sticks to a fifth-grade vocabulary.",What happened after the program was created?,people could tour the building,yes,Event Ordering,8282_MC_TACO
"Adding to the physical, emotional and financial burden they take on, grandparents face legal problems.",How long have grandparents been facing legal problems?,grandparents have been facing legal issues for five seconds,no,Event Duration,6149_MC_TACO
"A lot of poor people are not going to get served,'' she said.",For how long did the poor remain under-served?,9 year,no,Event Duration,2776_MC_TACO
The CIA now estimates that it cost al Qaeda about $30 million per year to sustain its activities before 9/11 and that this money was raised almost entirely through donations.,What happened to al Qaeda's finances after 9/11?,they were dealt a serious blow,yes,Event Ordering,156_MC_TACO
"Einstein discovered Louis de Broglie's work, and supported his ideas, which were received skeptically at first.",What did Einstein do after discovering and supporting Louis' work?,he became inspired to make discoveries,yes,Event Ordering,5086_MC_TACO
and jumped up and down on the side walk trying to get him to see them.,At what time did he jump on the sidewalk?,that allowed him to get stronger and stronger,no,Typical Time,919_MC_TACO
"This means it is not moving yet, but it has the potential to move.",How often can it utilize kinetic energy?,whenever it is moving,yes,Frequency,5979_MC_TACO
A plant uses a lot of energy to produce nectar.,How often do plants use energy to produce nectar?,every 2 months,no,Frequency,1507_MC_TACO
The two become close friends but do not reveal the secrets .,How often do the friends hang out?,every century,no,Frequency,3859_MC_TACO
"Domestic violence survivors in Jackson, Vicksburg, Hattiesburg, Oxford and Pascagoula can all get help.",How long will the help be offered?,10 seconds,no,Event Duration,678_MC_TACO
The Minangkabau custom of freely electing their leaders provided the model for rulership elections in modern federal Malaysia.,What time do the elections occur?,12:00 AM,no,Typical Time,3259_MC_TACO
"She told them that she would help take care of the puppy, if she could have one.",When could she get a puppy?,3 weeks ago,no,Event Ordering,2551_MC_TACO
"Safti admits his love for Edwina to Lord Esketh , who is now sympathetic toward this good man's plight .",What did Safti do after falling in love with Edwina?,wanted to be with her,yes,Event Ordering,523_MC_TACO
"Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .",Will Michael be back tomorrow?,yes,yes,Stationarity,3537_MC_TACO
"He tried and tried to please every person who came to the store, but they all picked smaller puppies.",When does the store usually open?,at 10 am,yes,Typical Time,2402_MC_TACO
"Joe did and after he got a bandage on his arm, he and his father rode in the field on the tractor.",What time did Joe and his father ride in the field?,2:00 AM,no,Typical Time,466_MC_TACO
"Joey spent the afternoon looking for his German Shepherd where they often played, like the field and forest.",What did Joey do after his German Shepherd was found?,"joey laughed and embraced his dog, happy",yes,Event Ordering,2707_MC_TACO
"On Fridays, Billy answers in a loud voice and Sally in a quiet voice.",What happens after Billy answers in a loud voice?,i expect it to be this quiet,no,Event Ordering,1919_MC_TACO
"Meridian National Corp. said it sold 750,000 shares of its common stock to the McAlpine family interests, for $1 million, or $1.35 a share.",How often does Meridian National Corp. sell its shares to other companies?,every quarter,yes,Frequency,3168_MC_TACO
Spanish rule dictated Portugal's inadvertent involvement in Spain's ongoing wars.,How often does Spain go to war?,3.33 times,no,Frequency,9182_MC_TACO
Her mommy took her to the dog pound so that she could choose one that she wanted.,What did they do after she chose the dog that she wanted?,they went home,yes,Event Ordering,2022_MC_TACO
The two become close friends but do not reveal the secrets .,How often do the friends hang out?,every day,yes,Frequency,3853_MC_TACO
"Dr. Safti is so busy saving lives that he can not personally care for Edwina , who has fallen ill .",When did Edwina fall ill?,1 month ago,yes,Typical Time,4784_MC_TACO
"Youll buy fewer items in the long run, so youll save money as well as resources.",How often will you save money?,every minute,no,Frequency,4854_MC_TACO
"This led to the discovery that the Earths crust was broken up into regions, or plates.",How often does the Earth's crust break up into regions?,every million hours,no,Frequency,5654_MC_TACO
The story then moves forward to 1920 and shows the expedition led by scientist Sir Basil Walden and business man Stanley Preston finding the tomb .,What did the scientist do after the expedition?,he published a paper about it,yes,Event Ordering,5901_MC_TACO
"In this case he looks to his girlfriend , Violet .",How long did it take him to look at Violet?,five seconds,yes,Event Duration,3141_MC_TACO
"In the nose, mucus and hairs trap any dust or other particles in the air.",How long does it take to trap dust particles in mucus?,a few seconds,yes,Event Duration,6500_MC_TACO
"But he told us that he could not drum up much interest in or money for such a purpose from Washington, partly, he thought, because these countries had dictatorial governments.",Is he still trying to drum up interest in those countries?,yes,no,Stationarity,302_MC_TACO
"Third, no middle ground exists in what Qutb conceived as a struggle between God and Satan.",What happens after the struggle between God and Satan?,peace,yes,Event Ordering,4295_MC_TACO
"The issues I've dealt with through the years have been on the side of helping people maintain the basics of life - home, healt h care, jobs and family.""",Are they still helping people?,no they stopped once a hour,no,Stationarity,472_MC_TACO
"But he told us that he could not drum up much interest in or money for such a purpose from Washington, partly, he thought, because these countries had dictatorial governments.",How often did he try to drum up interest?,each minute,no,Frequency,266_MC_TACO
Deborah likes to add some sugar with the lettuce so that Billy and Sally know what it is like to have sweet tastes in their life.,How long does it take Deborah to wash and prepare the lettuce?,30 minutes,no,Event Duration,2518_MC_TACO
"I suppose he was attracted to the commotion up the hill.""",How often are there commotions on the hill?,once a second,no,Frequency,7390_MC_TACO
"The two suicide operatives chosen were Hassan al Khamri and Ibrahim al Thawar, also known as Nibras.",How long did it take to chose the operatives?,0.11 minute,no,Event Duration,3417_MC_TACO
"Billy reached down and blew on the hot oatmeal, to cool it down for Tumble to eat.",When did Tumble eat the oatmeal?,tumble ate the oatmeal at 1am,no,Typical Time,2598_MC_TACO
"Picasso manages to enter the building , but is prevented from killing Nunemarcher by Cross , and escapes after being shot by Kane .",How long did it take Picasso to enter the building?,it took picasso two days to escape the building,no,Event Duration,3721_MC_TACO
"Dr. Safti is so busy saving lives that he can not personally care for Edwina , who has fallen ill .",What happened after Edwina fell ill?,her father hired a nurse,yes,Event Ordering,4789_MC_TACO
Martinez works two jobs as a physician's assistant and supports his elderly parents and 8-year-old son.,What does Martinez do after he works?,he takes care of his family,yes,Event Ordering,5333_MC_TACO
These organs all work together to help you gain energy from the food you eat.,How long does it take the organs to turn food into energy?,3 weeks,no,Event Duration,6653_MC_TACO
"This time, however, the anonymous artist worked in tandem with the director of Bristol museum in the UK.",How often had they worked together before?,3000 times,no,Frequency,4638_MC_TACO
"Ellen Pollak's The Poetics of Sexual Myth (1985) argues that Pope followed an anti-feminist tradition, that regarded women as inferior to men both intellectually and physically.",What happened after Ellen made the book?,got a medal from the pope,no,Event Ordering,6237_MC_TACO
"His people had tried and tried to break him, but he was wild at heart.",How often did the people try to break him?,every day,yes,Frequency,6350_MC_TACO
The Minangkabau custom of freely electing their leaders provided the model for rulership elections in modern federal Malaysia.,What time do the elections occur?,4:00 AM,no,Typical Time,3258_MC_TACO
These fossils showed that this entire area was once at the bottom of a sea.,At what time were the fossils found?,in the afternoon,yes,Typical Time,8243_MC_TACO
The group are chased by the assassins and Ronnie and Riya are killed .,What happened after Ronnie and Riya were killed?,he killed himself,no,Event Ordering,1881_MC_TACO
"There were a couple times that the family dog, Mika, has tried to take Joey from Marsha and eat him!",How long does it take Mika to try to eat Joey?,3 weeks,no,Event Duration,35_MC_TACO
Tumble liked to walk around outside in the garden and dig small holes to sleep in.,What did Tumble do before he went outside?,those outside the club want to climb in,no,Event Ordering,8637_MC_TACO
They also argued that Hall's litigious style hampered their ability to garner funds from Congress.,How often are funds garnered from Congress?,every few centuries,no,Frequency,1455_MC_TACO
"In 1930, the poet Muhammad Iqbal proposed a separate Muslim homeland in the northwest of India.",How long did Muhammad Iqbal consider his proposal?,5 seconds,no,Event Duration,362_MC_TACO
The use of non-covariant objects like pseudotensors was heavily criticized in 1917 by Erwin Schrodinger and others.,When did Schrodinger become aware of pseudotensors?,every weekend,no,Typical Time,4413_MC_TACO
"If you build a campfire, you start with a large stack of sticks and logs.",How often do you build campfires?,a few times per year,yes,Frequency,3117_MC_TACO
Einstein's affiliation with the Institute for Advanced Study would last until his death in 1955.,When did Einstein become a faculty member at the Institute for Advanced Study?,20 years ago,no,Typical Time,8333_MC_TACO
There was even a tiny room in the back of one of the closets.,"After buying the house, how long did it take the owners to notice the room?",1 week,yes,Event Duration,372_MC_TACO
"He filled three stories of the building with his art in 36 hours under tight security, as only a few museum staff were aware of the shows' imminent arrival.",How often does the building host shows?,15 times a day,no,Frequency,2738_MC_TACO
Jerry goes out to the pier and casts his favorite bait : cheese .,How much time did Jerry spend at the pier?,about a hour,yes,Event Duration,2091_MC_TACO
It is spending more than $500 million a year on semiconductor research and development.,How long has the research and development been going on?,years,yes,Event Duration,4650_MC_TACO
Tumble liked to walk around outside in the garden and dig small holes to sleep in.,How long did Tumble like to play outside for?,10 months,no,Event Duration,8648_MC_TACO
Bailey received the award for his three years of volunteer work at Indiana Pro Bono Commission.,How long was Bailey's award ceremony?,5 minutes,no,Event Duration,332_MC_TACO
"Upsetting many of his colleagues and contemporaries in France, the book brought about the final split with Sartre.",What happened before his colleagues got angry?,they were all friends,yes,Event Ordering,1963_MC_TACO
", native Archaic Indians began to develop a lasting hunting and gathering culture.",How long does a typical hunt take?,2 years,no,Event Duration,1437_MC_TACO
Afterwards she felt a lot better and went to sleep.,How many hours did she sleep?,72,no,Event Duration,3223_MC_TACO
"In the end , they drive off , listening to the radio .",How many times did they change the music during the trip?,they changed the music 3 different times,yes,Frequency,1602_MC_TACO
"When our cars burn gasoline in their engines, it is converted into motion and heat.",What happens before the engine burns gasoline?,the engine is started,yes,Event Ordering,6573_MC_TACO
"The target remained in Indianapolis Center's airspace for another six minutes, then crossed into the western portion of Washington Center's airspace at 9:10.",How long did it take for them to detect the target?,five hours,no,Event Duration,607_MC_TACO
Grants of tax-free land over the years had been made to Buddhist temples and members of the court aristocracy.,What happened after the grants were issued to the temples?,the temples were destroyed,no,Event Ordering,2338_MC_TACO
"With large population movements in the 1990s to urban areas, the provision of education has undergone transformation as well.",How often do people move to urban areas today?,rarely,no,Frequency,2902_MC_TACO
These specific animals might be more likely to visit only flowers of the same species.,How long do they spend at each flower?,9 hours,no,Event Duration,2294_MC_TACO
In this way the other major congressional interests can be brought together in the new committee's work.,What happened prior to the formation of the committee?,they took a nap,no,Event Ordering,3319_MC_TACO
The new novel takes place in a morally gray and often violent world.,How long was it a violent world,5 minutes,no,Event Duration,9258_MC_TACO
They are very flat areas and they have very rich soils.,When was the richness of the soil discovered?,two years ago,yes,Typical Time,3482_MC_TACO
"Mohamed Atta was born on September 1, 1968, in Kafr el Sheikh, Egypt, to a middle-class family headed by his father, an attorney.",How many years did Atta live with his parents?,18 months,no,Event Duration,2372_MC_TACO
The legitimization of gambling led to its increased legalization across the US.,How long did it take to legitimize gambling?,it took seconds,no,Event Duration,4681_MC_TACO
"Other times, they play a game with Quack where they wave at Quack and laugh.",How often do they play a game with Quack ?,they play about once a year,no,Frequency,2688_MC_TACO
"Not only did it create jobs, but it also created Lake Mead, the massive reservoir that today provides water to all of southern Nevada.",How long did it take to construct Lake Mead?,1 day,no,Event Duration,7442_MC_TACO
"Ransome looks after her as well as for young Fern Simon , who has declared her love for him .",How did Ransome and Fern come to love each other?,they married each other,no,Event Ordering,5427_MC_TACO
"In a matter of 48 hours, Alexander II planned to release his plan for the duma to the Russian people.",When did Alexander II create his plan?,yesterday,no,Typical Time,2146_MC_TACO
The fiction of Japanese imperial power had become infinitely extendable.,When did the fiction of Japanese imperial power take root?,after the meiji era,yes,Typical Time,8997_MC_TACO
"Growing up on a farm near St. Paul, L. Mark Bailey didn't dream of becoming a judge.",What did Mark do right after he found out that he became a judge?,got a nice supper,yes,Event Ordering,2745_MC_TACO
"Safti at first resists , but ultimately succumbs to Edwina's charms and falls hopelessly in love with her .",How often does she charm him?,twice a second,no,Frequency,3530_MC_TACO
The king of Gandhara then stops everyone from grabbing the little food that is provided .,How often are they able to eat?,twice per month,no,Frequency,435_MC_TACO
The state has been first to pass major public health initiatives that have spread throughout the country.,What happened before the health initiatives were passed?,it suffered another major setback,no,Event Ordering,3355_MC_TACO
"When everything was ready, she removed the seedlings from their trays and planted them in her garden.",At what time of the day did she start getting everything ready?,8:00 AM,yes,Typical Time,2450_MC_TACO
"Concerning the Georgetown Hoya interview where Heston was asked about Rolland, you write: ""There is no indication that [Heston] recognized Kayla Rolland's case.""",Did the Rolland case initiate before the interview?,yes since the interview was about it,yes,Event Ordering,9427_MC_TACO
It's the first in a new series featuring Iraq war veteran and private investigator Spero Lucas.,How many times per week did the series air?,once,yes,Frequency,6533_MC_TACO
"I suppose he was attracted to the commotion up the hill.""",What did he do after he was attracted?,i realized what was happening,no,Event Ordering,7386_MC_TACO
"For example, buy local produce at a farmers market, like the one in Figure 2.20.",How long does it take to get to the farmers market?,5 hours,no,Event Duration,6791_MC_TACO
She explained that Frank 's father was an alcoholic and that his mother worked as a toll booth operator .,How long has Frank's father been an alcoholic?,2 days,no,Event Duration,1527_MC_TACO
"The ground is capable of supporting grass and trees, so wind erosion would not explain it.","After the land erodes, what happens to the trees?",the trees die,yes,Event Ordering,7001_MC_TACO
"But another aircraft was heading toward Washington, an aircraft about which NORAD had heard nothing: United 93.",How often does NORAD monitor flights?,every day,yes,Frequency,4698_MC_TACO
In this way the other major congressional interests can be brought together in the new committee's work.,How often does the committee meet?,the committee meets once a century,no,Frequency,3326_MC_TACO
"Wallace, 38, called Gastonia home from the age of 8 until she graduated from Hunter Huss High School in 1983.",When did Wallace wake up for high school?,12:00 AM,no,Typical Time,3305_MC_TACO
"Carl Laemmle, head of Universal Studios, gave Einstein a tour of his studio and introduced him to Chaplin.",At what time did Einstein return home?,a second later,no,Typical Time,131_MC_TACO
The most powerful families thus carved out for themselves whole regions that were to become the fiefdoms of Japanese feudalism.,How often would one family be able to do something like this?,once a minute,no,Frequency,357_MC_TACO
"So really, that's what many of the people are doing now,"" he said.",How long will they be doing that?,1 minute,no,Event Duration,1095_MC_TACO
"W. Mark Goode, president of Micronyx Inc., a Richardson, Texas, firm that makes computer-security products, provided a new definition for Mikhail Gorbachev's campaign for greater openness, known commonly as glasnost.",How long did Gorbachev's campaign last?,0.2 year,no,Event Duration,2229_MC_TACO
Convicted murderer Seth Baxter awakens chained to a table beneath a pendulum blade .,Is he still in handcuffs?,he changed his vote to yes,no,Stationarity,5717_MC_TACO
"In Colombia, the drug-financed guerrillas trying to seize the country and destroy democracy include M-19, which Castro has clearly backed.",How long had the guerillas been supported by Castro?,1 minute,no,Event Duration,235_MC_TACO
He also submitted various suggestions as to its initial programs.,How often do they accept suggestions for programs?,each month,yes,Frequency,2513_MC_TACO
"The suggestion that you are some one else is the thing to strive for, not the concealment of who you really are.",How long does one strive to become someone else?,for decades,yes,Event Duration,2992_MC_TACO
Bin Laden and his aides did not need a very large sum to finance their planned attack on America.,How long did it take for Bin Laden and his aides to plan the attack?,2 minutes,no,Event Duration,6620_MC_TACO
"During the ensuing Battle of Chaeronea, Philip commanded the right wing and Alexander the left, accompanied by a group of Philip's trusted generals.",How long did the battle last?,25 minutes,no,Event Duration,7952_MC_TACO
"Not that he devised flint and steel, matches, or any other way of creating fire.",How long does it take him to build a fire?,6 seconds,no,Event Duration,814_MC_TACO
Ana studied very hard to be the best she could be at spelling.,"How long did Ana study everyday, so that she could be the best at spelling?",a second,no,Event Duration,4388_MC_TACO
"He'd seen a dog before, every cat has, and he used to live with a black dog named Henry, but he'd never seen a brown one before.",How often does he see dogs?,he sees dogs every three centuries,no,Frequency,5533_MC_TACO
The properties of matter depend on the types of atoms that matter is made of.,How often are new atoms created?,every week,no,Frequency,868_MC_TACO
"The origin of the funds remains unknown, although we have a general idea of how al Qaeda financed itself during the period leading up to 9/11.",When did al Qaeda begin financing itself?,1891,no,Event Ordering,8842_MC_TACO
"The postwar period began, however, with millions of displaced people homeless and starving.",When did the postwar period end?,5 seconds after the beginning of the postwar period,no,Typical Time,9240_MC_TACO
"In actual practice, however, we act too often as if we only cared for economic values.",What day do we only care for economic values?,tuesday,no,Typical Time,1289_MC_TACO
"In the opening scene , Randy Morton describes a typical Friday afternoon at the Waldorf .",How long does he spend at the Waldorf?,a second,no,Event Duration,5140_MC_TACO
"After earning bachelor's and master's degrees in education and a few years teaching, Kilgore enrolled at the UM law school.",How long did it take to earn a bachelor's degree?,1 years,no,Event Duration,845_MC_TACO
The properties of matter depend on the types of atoms that matter is made of.,How often are new atoms created?,every millisecond,yes,Frequency,864_MC_TACO
"The core of our strategy is to lead in technology and attack the high-performance segments of the market, said John Kelly, senior vice president in charge of IBM's technology group.",How often does John Kelly divulge IBM's strategies?,once a second,no,Frequency,9139_MC_TACO
"President Clinton told us that when he pulled Musharraf aside for a brief, one-on-one meeting, he pleaded with the general for help regarding  Bin Laden.""",How long did the meeting last?,about ten centuries,no,Event Duration,2001_MC_TACO
"Sarah is dating the curator Michael Pierce , a single father who is away from the museum that night .",How often is Michael at the museum?,5 days a year,no,Frequency,3542_MC_TACO
The fiction of Japanese imperial power had become infinitely extendable.,How often did the imperialists attempt to extend their narrative of power?,one a hour,no,Frequency,8993_MC_TACO
"In the region around Genoa, he enrolled a thousand men to go on what looked like a desperate enterprise.",How long did the desperate enterprise take?,10 seconds,no,Event Duration,2433_MC_TACO
"In school, Atta came across as very intelligent and reasonably pleasant, with an excellent command of the German language.",How long was Atta in the school?,3 day,no,Event Duration,7548_MC_TACO
By the time the spelling bee arrived Ana and her best friend were sure she would win.,How often is the spelling bee held?,every minute,no,Frequency,3696_MC_TACO
Johnson is a justice on California's Second District Court of Appeal.,When did Johnson arrive to court?,3:00 AM,no,Typical Time,6525_MC_TACO
"Once we arrive, the castle looked much bigger than we had imagined.",how often did you imagine it,twice a month for a century,no,Frequency,6750_MC_TACO
Ana studied very hard to be the best she could be at spelling.,What did Ana do after studying hard?,she went for personal mementos,no,Event Ordering,4394_MC_TACO
He jumped on his favorite chair and looked down as Maggie ran under it.,At what time were these people playing around the chair?,2:00 AM,no,Typical Time,5325_MC_TACO
"The 9/11 plotters eventually spent somewhere between $400,000 and $500,000 to plan and conduct their attack.",At what time of the day did the attack occur?,8:00 AM,yes,Typical Time,3328_MC_TACO
Atta and Omari boarded a 6:00 A.M. flight from Portland to Boston's Logan International Airport.,How many times a month do they fly on a plane?,5000,no,Frequency,6852_MC_TACO
"The letterhead on correspondence still bears the Bexar County Legal Aid name, even though the organization is no longer.",When was the letterhead printed?,last second,no,Event Ordering,2353_MC_TACO
"Picasso manages to enter the building , but is prevented from killing Nunemarcher by Cross , and escapes after being shot by Kane .",Will Nunemarcher remain in the building?,by gangs and drug dealers patrolled the building,no,Stationarity,3735_MC_TACO
"This is an astonishing new record for a coin, he said.",How often are new records established?,once a second,no,Frequency,434_MC_TACO
The cute red ball rolled over to the blue ball and said hello.,How long did it take for the red ball to roll over to the blue ball?,15 centuries,no,Event Duration,1768_MC_TACO
"By the beginning of the fourth century the Algarve had a bishop in place, based in Faro.",How often did Algarve dispatch new bishops?,once every week,no,Frequency,3569_MC_TACO
Some are trying to escape eviction or an abusive marriage.,How frequently do they attempt to escape?,every 18 minutes,no,Frequency,8610_MC_TACO
"When they meet , John accuses his father of abandoning him , but his father says that `` he left it up to John . ''",What does John and his father do after they meet?,go leave their own homes,no,Event Ordering,5609_MC_TACO
They like to play hopscotch or jump rope but that day they wanted to play tag.,How long do they play each day?,1 week,no,Event Duration,4975_MC_TACO
The leaders of the Department of Homeland Security now appear before 88 committees and subcommittees of Congress.,When do they appear before the committees?,last month,no,Event Ordering,1745_MC_TACO
"In a 1945 interview, Camus rejected any ideological associations: ""No, I am not an existentialist.",Was Camus an existentialist prior to the interview?,camus did believe in existentialism before changing his mind during the interview,no,Stationarity,3039_MC_TACO
Those in the shelter wondered if the aircraft had been shot down pursuant to this authorization.,How long did it take to shoot the aircraft down?,1 year,no,Event Duration,1621_MC_TACO
"At the same time, the Sudanese regime began to change.",How long did it take for differences to become apparent?,six months,yes,Event Duration,2709_MC_TACO
"Boston Center TMU [Traffic Management Unit], we have a problem here.",What happened after the problem was discovered?,the tmu sent the police to investigate and correct the issue,yes,Event Ordering,6474_MC_TACO
Estimates of his date of birth vary by well over a century.,How often was he born?,36 times,no,Frequency,1126_MC_TACO
"She renews in Ranchipur an acquaintance with a former lover , Tom Ransome , now a dissolute alcoholic .",How frequently does Tom drink?,every morning,yes,Frequency,203_MC_TACO
"Meanwhile , whilst living on the estate , Mr. Neville gains quite a reputation with its dwellers , especially with Mrs. Herbert's son-in-law , Mr. Talmann .",How long did Mr. Neville live on the estate?,30 minutes,no,Event Duration,823_MC_TACO
"Wallace, 38, called Gastonia home from the age of 8 until she graduated from Hunter Huss High School in 1983.",How many times a week did Wallace go to school?,junior graduates from high school,no,Frequency,3281_MC_TACO
Einstein's affiliation with the Institute for Advanced Study would last until his death in 1955.,How many times did he join the Institute for Advanced Study?,"october 2 , 1955",no,Frequency,8327_MC_TACO
They are very flat areas and they have very rich soils.,How often is the soil tested?,18 times a day,no,Frequency,3479_MC_TACO
Bailey received the award for his three years of volunteer work at Indiana Pro Bono Commission.,How long was Bailey's award ceremony?,3 minutes,no,Event Duration,329_MC_TACO
"Mintie, her colleagues say, could have made a lot of money in private practice.",How often does Mintie make money?,5 days a week,yes,Frequency,8787_MC_TACO
The cute red ball rolled over to the blue ball and said hello.,How long did it take for the red ball to roll over to the blue ball?,135 minutes,no,Event Duration,1757_MC_TACO
A majority of 65 votes in the 128-member body was required to reject his reinstatement.,How often are elections held?,every month,no,Frequency,3012_MC_TACO
Most of us have seen steam rising off a wet road after a summer rainstorm.,How long does stream rise after a summer rainstorm?,steam rises  for 0.4 day off a wet road after a summer rainstorm,no,Event Duration,401_MC_TACO
"But the compromising terms of peace galled him, and he was not satisfied with a country only half free.",How long did it take for them to reach the initial compromise?,1 minutes,no,Event Duration,7878_MC_TACO
"Shortly before she left, Tasha said, ""You steal from life for art, Bernardo.",How long did Tasha speak?,7200 minutes,no,Event Duration,3801_MC_TACO
they were heard saying when the photo was taken -- while Rowlf is clearly a selfie king.,How long were they taking photos?,1.67 months,no,Event Duration,5882_MC_TACO
