context,question,label,answerA,answerB,answerC,answerD,answerE
A small child wearing a red jacket and blue pants is hanging onto the white cross bar of a blue metal swing set which is in the corner of the yard near the little white bench and the stacked firewood .,Who is hanging into something?,D,One man with glasses,a plane,A market,A small child,None of the above
A small child wearing a red jacket and blue pants is hanging onto the white cross bar of a blue metal swing set which is in the corner of the yard near the little white bench and the stacked firewood .,What is hanging into something?,C,a red checkered shirt,other men,A small child wearing a red jacket and blue pants,Two soldiers,None of the above
A small child wearing a red jacket and blue pants is hanging onto the white cross bar of a blue metal swing set which is in the corner of the yard near the little white bench and the stacked firewood .,How is something hung?,D,running on track,one in black wrestling gear,a lab test,onto the white cross bar of a blue metal swing set,None of the above
A small child wearing a red jacket and blue pants is hanging onto the white cross bar of a blue metal swing set which is in the corner of the yard near the little white bench and the stacked firewood .,What is something hanging into?,A,the white cross bar of a blue metal swing set,a frame,track,A man with curly hair and glasses,None of the above
A woman jumps up to avoid a leak from a fermentation tank .,Who jumps somewhere?,B,the point,A woman,a box of possessions,on a doorstep,None of the above
A woman jumps up to avoid a leak from a fermentation tank .,Why does someone jump somewhere?,B,a piece of computer equipment,to avoid a leak,clumps of dirt and grass flying,while the peer inside his enclosure from below,None of the above
A woman jumps up to avoid a leak from a fermentation tank .,Why does someone jump up?,B,any potential dangers,to avoid a leak from a fermentation tank,at a public showcase,A crowd,None of the above
A woman jumps up to avoid a leak from a fermentation tank .,Who avoids something?,B,a red spaceship,A woman,like either a dry - erase board or a museum display of children 's scribbles,on his forehead,None of the above
A woman jumps up to avoid a leak from a fermentation tank .,What does someone avoid?,B,A girl with freckles and metal earrings,a leak,with a small wooden bucket,A mixed martial artist,None of the above
A woman jumps up to avoid a leak from a fermentation tank .,Where is something being avoided from?,D,The mother,Two soldiers,some cuisine,from a fermentation tank,None of the above
A cheerleading competition and the black squad is making a pyramid .,What is making something?,B,down the fairway,A cheerleading competition and the black squad,At an intersection,in a blue and white kayak,None of the above
A cheerleading competition and the black squad is making a pyramid .,What is something making?,B,down a tunnel,a pyramid,The rider,a canoe,None of the above
A hiker discovers a feature in an otherwise barren landscape .,Who discovers something?,A,A hiker,glasses and a black blouse,A shoe shiner,down a rapid body of water,None of the above
A hiker discovers a feature in an otherwise barren landscape .,What does someone discover?,D,as the preacher reads them their wedding vows,a desk lamp,in front of awaiting army personnel,a feature,None of the above
A hiker discovers a feature in an otherwise barren landscape .,Where does someone discover something?,B,as one carries a dead animal from hunting,in an otherwise barren landscape,"to play keyboard , drums , violin and a mandolin",their diplomas,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,Who is gaining something?,A,A young man,in a small bathroom,while someone takes a picture for social services,running on track,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,Why is someone gaining something?,B,a seagull,to hit a punching bag,four men,next to a middle - aged man wearing a yellow t - shirt shirt,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,When is someone gaining something?,C,an argument,An African family,as his peers watch from behind him,A band,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,Who hits something?,A,A young man,the peace sign,an argument,about science,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,What does someone hit?,B,a plane,a punching bag,A black man,a short - sleeved black shirt,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,When is someone hitting something?,B,a photograph,as his peers watch from behind him,on a bus,while a guitarist and some other people are in the background,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,Who watches?,C,on his forehead,as she kneels,his peers,with a mighty punch,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,Where does someone watch?,D,A team of players,over a bar,a parking ticket,from behind him,None of the above
A young man is gaining power to hit a punching bag as his peers watch from behind him .,What does someone watch from?,D,on her back,into a swimming pool,A curly - haired kid,behind him,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",Who is wearing something?,D,A wrestling match,A team of players,against a white truck,A male,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",What is someone wearing?,A,a strange helmet,on a white sack,a baritone,to a potential client,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",What is covering something?,D,to work wood,Staff and youth,two llamas or alpacas,A male wearing a strange helmet,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",What is being covered?,C,in shining armor,around a small building,face and head,A group of people,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",Who is seated?,B,in the dressing rom,A male wearing a strange helmet covering face and head,a dropper,to bite each other in the face,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",Where is someone seated?,B,in white,on the accordion case,a big splash,in a crib,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",What is someone seated on?,D,a store on the corner,four music,the inside of a large pane of glass,the accordion case,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",What is blocked?,B,"a blue t - shirt , suspenders and purple tights",a street,to ride with an american flag,A marching band dressed in red tunics and black trousers with tall black furry headpieces,None of the above
"A male wearing a strange helmet covering face and head is seated on the accordion case in a street apparently blocked off , perhaps for a block party , while onlookers walk behind and listeners are seated in front in lawn chairs .",Where is someone seated?,A,in front,An asian woman,the dumpster,red tunics and black trousers,None of the above
People are at an outdoor shopping bazaar walking and looking at merchandise .,Where is someone looking?,D,A working man,down a street,on a subway,at an outdoor shopping bazaar,None of the above
"After a great performance , these performers bow down in respect of the audience .",When does someone bow somewhere?,C,two plastic and foam toy rockets,a cooler,After a great performance,a pot of boiling water,None of the above
"After a great performance , these performers bow down in respect of the audience .",Who bows somewhere?,B,their movements,these performers,A few people with bags,two women,None of the above
"After a great performance , these performers bow down in respect of the audience .",How does someone bow somewhere?,C,to a potential client,outside a building,in respect of the audience,his chickens will sound the alarm,None of the above
four men are looking at a motor on the back of a wooden boat .,Who is looking?,A,four men,a bunch stuff,at a public establishment,give one another a high - five,None of the above
four men are looking at a motor on the back of a wooden boat .,What is someone looking at?,A,a motor,on a nearby sofa,a poster,a shopping cart,None of the above
four men are looking at a motor on the back of a wooden boat .,Where is someone looking?,C,a red ball,the other man 's head,on the back of a wooden boat,with an Audi and truck,None of the above
A girl with freckles and metal earrings enjoys a cherry indoors .,Who enjoys something?,B,moves,A girl with freckles and metal earrings,a ladder,Two men,None of the above
A girl with freckles and metal earrings enjoys a cherry indoors .,What does someone enjoy?,B,a tabletop,a cherry,a candle,a cooler,None of the above
a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony .,Who is riding something?,B,a puck,a blond child,in a parade,on a bannister,None of the above
a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony .,Who carried something?,D,An eccentric blond woman,face,Three men,a blond child,None of the above
a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony .,What carried something?,D,A newborn boy,a broom,a large silver dome,a blond child on a horse riding uniform,None of the above
a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony .,What is someone carrying?,D,on a ship 's deck,A mam,for a picture,a teddy bear,None of the above
a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony .,What is someone riding?,A,a donkey or pony,Blond child,into the camera,to avoid a mishap,None of the above
A group of children and their guardian walk on the boardwalk and eat ice cream .,Who walks somewhere?,D,the director,from a large plant,A storefront with a sign,A group of children and their guardian,None of the above
A group of children and their guardian walk on the boardwalk and eat ice cream .,Where does someone walk?,A,on the boardwalk,The nuptials,as though there was a beauty competition of some sort sponsored by the Chinese,A girl with blond - hair,None of the above
A group of children and their guardian walk on the boardwalk and eat ice cream .,What does someone walk on?,C,in a protest chant,his win,the boardwalk,to look for waterfowl,None of the above
A group of children and their guardian walk on the boardwalk and eat ice cream .,Who eats something?,D,After a great performance,one another,a palace and the landscape,A group of children and their guardian,None of the above
A group of children and their guardian walk on the boardwalk and eat ice cream .,What does someone eat?,C,a red jacket and blue pants,blue,ice cream,powdered sugar,None of the above
"A young girl is fishing with some elderly people , possibly her grandparents .",Who is fishing?,C,around a small building,a crowd,A young girl,his glass,None of the above
"A young girl is fishing with some elderly people , possibly her grandparents .",Who is someone fishing with?,B,her,some elderly people,out of a hole,in the air,None of the above
Four powerboats racing across the sea .,Where is something racing?,B,A newborn boy,across the sea,up the steep rock,in a snowstorm,None of the above
A woodcarver is carving a bald eagle out of wood at a carnival as spectators look on .,What is someone carving?,B,a hat,a bald eagle,a highchair,the frame,None of the above
A woodcarver is carving a bald eagle out of wood at a carnival as spectators look on .,Where is someone carving something?,B,in a room,out of wood,A stream of men,a time - out,None of the above
A woodcarver is carving a bald eagle out of wood at a carnival as spectators look on .,When is someone carving something?,B,with a hose,as spectators look on,into the camera,her bicycle,None of the above
A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece .,Who displayed something?,A,A Indian women,the ruts,at a spa,a duel,None of the above
A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece .,What is someone displaying?,B,on a busy Chinese street,her cultural heritage,A farmer,in China,None of the above
A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece .,How is something displayed?,D,to remove a possum from a bar with a broom,on a grill,home plate,with painted red fingers and an extravagant head piece,None of the above
A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece .,What is painted?,D,through a vehicle 's windshield,a weathered old building,outside a building,red fingers,None of the above
A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece .,What was painted?,C,in blue,A bright carnival scene,red fingers and an extravagant head piece,with hands,None of the above
A dirty boy at a playground holds up his hands with disgust .,Who holds up something?,C,A protester,A young boy and girl,A dirty boy,on a cart,None of the above
A dirty boy at a playground holds up his hands with disgust .,Where does someone hold up something?,D,around,A band,A woman in an orange vest and blue shirt,at a playground,None of the above
A dirty boy at a playground holds up his hands with disgust .,What does someone hold up?,D,in the distance,One young girl,after a brief ride,his hands,None of the above
A dirty boy at a playground holds up his hands with disgust .,How does someone hold something?,C,the ebb and flow of the city,The bulls,with disgust,with the coordinator,None of the above
A young man wearing a purple shirt does the limbo in a gymnasium .,Who is wearing something?,B,in Santa 's sleigh,A young man,young boys,for combat,None of the above
A young man wearing a purple shirt does the limbo in a gymnasium .,What did someone wear?,C,The gal in the yellow hard hat,a projector,a purple shirt,a frame,None of the above
"Several bike riders in a parade , wearing American paraphernalia with onlookers nearby .",Who wore something?,C,as Customers decide what is the healthiest option,from along side a building,Several bike riders,while people in the background are reading,None of the above
"Several bike riders in a parade , wearing American paraphernalia with onlookers nearby .",Where did someone wear something?,A,in a parade,could only happen in a video game,towards the crowd and the rest of the field,from behind him,None of the above
"Several bike riders in a parade , wearing American paraphernalia with onlookers nearby .",What did someone wear?,B,their diplomas,American paraphernalia,the preacher,the popup,None of the above
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",Who was sitting?,B,in a room,a little girl,One man with glasses,with a chainsaw,None of the above
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",Who wore something?,A,a little girl,A bedroom,while his opponent has rocks spelled out on his tray,a break from boating,None of the above
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",What was someone wearing?,C,to hurry up,the distance,a yellow shirt,a table,None of the above
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",Who matched something?,B,a graphic T - shirt,a little girl,"coats , hats , and boots",for a picture,None of the above
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",What is being matched?,B,metallic armor,flowered pants,a yellow shirt with green checkered bottoms,helmets and jackets,None of the above
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",Who held something?,C,a small wooden bucket,"on a large , blue painting",a little girl,to be dressed in normal clothes,None of the above
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt , matching flowered pants , and holding a white hat .",What is someone holding?,C,the lawn,with ice cream and ice cream cones on it,a white hat,there amish but there carrying maybe a cellphone or walkie talkie,None of the above
"A man is squatting in front of a kiosk labeled "" PAY HERE "" ; a pickup truck is in the background .",Who is squatting?,D,a blond girl,on a white sack,A stream of men wearing old century viking costumes and armor,A man,None of the above
"A man is squatting in front of a kiosk labeled "" PAY HERE "" ; a pickup truck is in the background .",Where is someone squatting?,D,a small outdoor recreation of a steam locomotive,in the sunlight,a monument of jesus christ,in front of a kiosk,None of the above
"A man is squatting in front of a kiosk labeled "" PAY HERE "" ; a pickup truck is in the background .",What is labeled something?,C,a rice paddy,a broom and dustpan,a kiosk,a fierce game of rugby,None of the above
"A man is squatting in front of a kiosk labeled "" PAY HERE "" ; a pickup truck is in the background .",What is something labeled?,A,PAY HERE,them,"in a beautiful pink , jewel encrusted outfit and makeup",to bud,None of the above
A man in a striped shirt explains his proposal to his co - workers .,Who explains something?,D,A big group of students,from a silver punch bowel,on a roundabout,A man,None of the above
A man in a striped shirt explains his proposal to his co - workers .,What does someone explain?,B,as the crowd looks on,his proposal,watching black smoke billow in the distance,the ground,None of the above
A young man wearing all great is filling a cooler up with an assortment of foods .,Who is wearing something?,D,their love of motorcycles,a cake,in the road,A young man,None of the above
A young man wearing all great is filling a cooler up with an assortment of foods .,What did someone wear?,A,all great,a flower,a white sack,over a tuft of grass,None of the above
A young man wearing all great is filling a cooler up with an assortment of foods .,Who is filling something?,A,A young man,in a large foyer,like a spaceman,his work,None of the above
A young man wearing all great is filling a cooler up with an assortment of foods .,What is someone filling?,A,a cooler,some,a harbor,"keyboard , drums , violin and a mandolin",None of the above
A young man wearing all great is filling a cooler up with an assortment of foods .,How is someone filling something?,D,for a construction project,to work wood,in respect of the audience,with an assortment of foods,None of the above
A young man wearing all great is filling a cooler up with an assortment of foods .,What is someone filling something with?,B,in the sunlight,an assortment of foods,A woman with curly brown hair and a blue skirt,glasses and a black blouse,None of the above
"This 70 's style fashion statement goes well with a garage style "" boogie . """,What goes?,C,Three men,by fake flamingos,This 70 's style fashion statement,A man wearing a blue polo shirt and dark pants,None of the above
A man holding a baby and an older child admire a birthday cake with candles .,Who is holding something?,C,A man without a shirt,A scientist,A man,a wooden table,None of the above
A man holding a baby and an older child admire a birthday cake with candles .,Who is someone holding?,B,"a "" your daily cup "" t - shirt",a baby,down a road,her bike,None of the above
A man holding a baby and an older child admire a birthday cake with candles .,Who is being held?,A,a baby and an older child,Fall shoppers and bistro food lovers,Four women,a horse 's hoof,None of the above
A man holding a baby and an older child admire a birthday cake with candles .,Who admires something?,A,A man holding a baby and an older child,his negligent father,A few people with bags,the wires,None of the above
A man holding a baby and an older child admire a birthday cake with candles .,What does someone admire?,C,his win,glasses and a black blouse,a birthday cake,the man closet to the camera,None of the above
A man holding a baby and an older child admire a birthday cake with candles .,How does someone admire something?,A,with candles,in safety green shirts,off an A frame shack,with determination,None of the above
a man trying to touch a dolphin or whale or some kind of marine animal,Who is trying to do something?,B,a question,a man,A young man in an orange vest holding a shotgun,"a hat , moccasins , and a purple shirt",None of the above
a man trying to touch a dolphin or whale or some kind of marine animal,What is someone trying to do?,A,to touch a dolphin or whale or some kind of marine animal,a map and compass,in recent weeks,Too hooded figures,None of the above
a man trying to touch a dolphin or whale or some kind of marine animal,Who touches something?,D,as he plays his guitar with determination,A farmer,on the pavement of her campsite,a man,None of the above
a man trying to touch a dolphin or whale or some kind of marine animal,What is being touched?,C,the pile of leaves,as his peers watch from behind him,a dolphin or whale,into a martini glass,None of the above
a man trying to touch a dolphin or whale or some kind of marine animal,What did someone touch?,A,a dolphin or whale,while playing guitar with passion,as if preparing for or returning from an outing,a pitchfork,None of the above
"Two little girls , one on the floor , and one on the top bunk , are showing off their princess castle bunk bed .",Who is showing up something?,B,WE,Two little girls,on an escalator,A man wearing a blue polo shirt and dark pants,None of the above
"Two little girls , one on the floor , and one on the top bunk , are showing off their princess castle bunk bed .",What is someone showing up?,D,a keg of beer,snow,Athletes wearing helmets and jackets displaying logos of multiple sponsors,their princess castle bunk bed,None of the above
Man in black tux singing his solo part in the performance .,What is someone singing?,D,second and third places,a pencil and a dictionary,enjoy the new hospital orientation,his solo part,None of the above
Man in black tux singing his solo part in the performance .,Where is something being sung?,B,window - holes,in the performance,Two little girls,kid,None of the above
Two comedians performing a routine .,Who is performing something?,C,into one of her works of art,A group of teenage boys,Two comedians,another woman,None of the above
Two comedians performing a routine .,What is someone performing?,B,in a park,a routine,A male wearing a strange helmet,like a spaceman,None of the above
A throng of travelers is walking between two trains on an indoor station platform .,Who is walking?,D,A working man,The gal in the yellow hard hat,After a great performance,A throng of travelers,None of the above
A throng of travelers is walking between two trains on an indoor station platform .,Where is someone walking?,C,outside a building,a break from boating,between two trains,using a map and compass,None of the above
A throng of travelers is walking between two trains on an indoor station platform .,Where is someone walking somewhere?,D,the undercarriage of an airplane,a new invention,with a chisel,on an indoor station platform,None of the above
"A dog rests on a loveseat , while a man lies on a nearby sofa .",What rests?,C,a safety vest and hard hat,An Asian man wearing a graphic T - shirt,A dog,a beauty competition of some sort sponsored by the Chinese,None of the above
"A dog rests on a loveseat , while a man lies on a nearby sofa .",Where does something rest?,C,to their destination,at the rear of a crowd of people,on a loveseat,to no avail,None of the above
"A dog rests on a loveseat , while a man lies on a nearby sofa .",What does something rest on?,C,a checked scarf,a sledge,a loveseat,a projector,None of the above
"A dog rests on a loveseat , while a man lies on a nearby sofa .",Who lies somewhere?,C,in ivy,at a ranch,a man,"A stout , elderly man",None of the above
"A dog rests on a loveseat , while a man lies on a nearby sofa .",Where does someone lie?,D,to put out a blaze,the stage,A dog,on a nearby sofa,None of the above
"A dog rests on a loveseat , while a man lies on a nearby sofa .",What does someone lie on?,B,a piece of paper,a nearby sofa,A construction worker,in a loft,None of the above
Woman in red shift and long white socks kneeling on tennis court .,Who is kneeling?,A,Woman in red shift and long white socks,down in a shipyard,A young man,while a van and garbage truck drive by,None of the above
Woman in red shift and long white socks kneeling on tennis court .,What is kneeling?,C,"An acoustic guitarist and lead vocalist , electric guitarist , and a keyboardist",out of wood,long white socks,a woman in a white sweater,None of the above
Woman in red shift and long white socks kneeling on tennis court .,Where is someone kneeling?,C,A woman with curly brown hair and a blue skirt,while standing on a ship 's deck,on tennis court,at a food booth,None of the above
Woman in red shift and long white socks kneeling on tennis court .,What is someone kneeling on?,D,A large class of graduates,in formation,lift a barbell,tennis court,None of the above
People stand along the sidewalk watching a bus come their way .,Where does someone stand?,C,A girl and her fiancee,alone,along the sidewalk,a white turtleneck,None of the above
People stand along the sidewalk watching a bus come their way .,How does someone stand somewhere?,B,with a sign above shops,watching a bus come their way,in a high rise,up,None of the above
People stand along the sidewalk watching a bus come their way .,Where is someone watching something?,C,the flag of Western Sahara,down a tree - lined stream,along the sidewalk,during a crosscountry skiing trial,None of the above
People stand along the sidewalk watching a bus come their way .,What is someone watching?,A,a bus,in a flood,in front of them,the city street,None of the above
People stand along the sidewalk watching a bus come their way .,What comes?,A,a bus,A man,a vibrant pink overcoat and a black dress,A small boy,None of the above
People stand along the sidewalk watching a bus come their way .,How does something come?,C,An empty chairlift and a chairlift,a red public bench,their way,in the lead of the pack,None of the above
a man teaching a class about folic acid,Who is teaching something?,C,to spread the hay around,with the closure on her dress,a man,A wall,None of the above
a man teaching a class about folic acid,What is someone teaching?,B,an abstract elephant cartoon painted in horizontal rainbow stripes,a class about folic acid,a clearing,in the construction or destruction of a building,None of the above
a man teaching a class about folic acid,What was someone teaching?,B,the muzzle,a class about folic acid,his bike,a sailing ship,None of the above
Brown - skinned girl pretends to do her homework while someone takes a picture for social services .,Who pretends to do something?,A,Brown - skinned girl,a graphic T - shirt,a cherry,as his female friends laughs it on,None of the above
Brown - skinned girl pretends to do her homework while someone takes a picture for social services .,What does someone pretend?,A,to do her homework,in one hand,to its window,A man in a blue and white shirt,None of the above
Brown - skinned girl pretends to do her homework while someone takes a picture for social services .,What does someone pretend to do?,A,her homework,to be holding a piece of electrical conduit,to come to an agreement,A few people with bags,None of the above
Brown - skinned girl pretends to do her homework while someone takes a picture for social services .,When does someone pretend to do something?,C,many,a yellow shirt with green checkered bottoms,while someone takes a picture for social services,A farm woman,None of the above
Brown - skinned girl pretends to do her homework while someone takes a picture for social services .,What does someone take?,A,a picture,a vibrant pink overcoat and a black dress,the water,on a pier,None of the above
A woman is laying down on the pavement of her campsite .,Who is laying somewhere?,A,A woman,under the waterfall 's cascade,A male and a female,on the stairs,None of the above
A woman is laying down on the pavement of her campsite .,Where is someone laying?,B,A street market,on the pavement of her campsite,two people,a hand,None of the above
A woman sits hidden in the dried stray awaiting an animal in the wild .,Who sits somewhere?,A,A woman,the streets,in the street,inside a flower shop,None of the above
A woman sits hidden in the dried stray awaiting an animal in the wild .,Where does someone sit?,D,into a martini glass,Two females,a large silver dome,in the dried stray,None of the above
A woman sits hidden in the dried stray awaiting an animal in the wild .,Who is hidden?,C,Asian person,to put out a blaze,A woman,in a desert,None of the above
A woman sits hidden in the dried stray awaiting an animal in the wild .,Where is someone hidden?,C,to get a puck to go their way,over in a forest,in the dried stray,bright green,None of the above
A woman sits hidden in the dried stray awaiting an animal in the wild .,What is awaiting something?,D,balloons,knives,stray,dried stray,None of the above
A woman sits hidden in the dried stray awaiting an animal in the wild .,What is someone awaiting?,B,to conduct this survey - type layout,an animal,A young man,a fit,None of the above
A woman sits hidden in the dried stray awaiting an animal in the wild .,Where is something being awaited?,B,in front of them,in the wild,A farmer,An athletic male,None of the above
A man lifting up a woman by the waist dancing ballroom in the middle of a little town .,Who is lifting up something?,D,onto a very colorful blanket,a karate gee,wearing goggles and a red anorak,A man,None of the above
A man lifting up a woman by the waist dancing ballroom in the middle of a little town .,Who is being lifted?,C,a handshake,another midget,a woman,"a "" your daily cup "" t - shirt",None of the above
A man lifting up a woman by the waist dancing ballroom in the middle of a little town .,How is someone lifting up something?,C,in a parade,A hair designer,by the waist dancing ballroom,the light,None of the above
A hippie is making two cappuccinos .,Who is making something?,D,a sign,a lawn chair,A clerk in a convenience store,A hippie,None of the above
A hippie is making two cappuccinos .,What is someone making?,D,camouflaged shorts or long swim trunks,Athletes wearing helmets and jackets,under parasols,two cappuccinos,None of the above
"Bizarre live art exhibit with goddess type woman , man strapped to dolly , and hairy man in suit .",Where is someone strapped?,C,on a dirt route,green,to dolly,A baby,None of the above
Two coast guard officers out on a training mission .,Who was officered?,D,across the shore,A man and a woman,Two boys,Two coast guard,None of the above
Two coast guard officers out on a training mission .,How was someone officered?,D,a brawl,the camera,A young blond woman,on a training mission,None of the above
Two coast guard officers out on a training mission .,What was someone officered on?,A,a training mission,to give the impression that he is yelling,"an on - looking batter , catcher , and Umpire",an exhibition,None of the above
Three men repairing the streets by means of manual labor .,Who is repairing something?,C,to break free of an opposing player,the picture,Three men,An empty chairlift and a chairlift,None of the above
Three men repairing the streets by means of manual labor .,What is someone repairing?,A,the streets,Two wrestlers,at a public establishment,a sign,None of the above
Three men repairing the streets by means of manual labor .,How is someone repairing something?,D,from a spit,Young girl,by a candle,by means of manual labor,None of the above
A nursing staff in front of a cart that says magnet is you .,Who says something?,B,at the camera,A nursing staff,a question,outside a building,None of the above
A nursing staff in front of a cart that says magnet is you .,Where does someone say something?,A,in front of a cart,Woman,at a cupcake sales table,on a crowded street,None of the above
A nursing staff in front of a cart that says magnet is you .,What does something say?,A,magnet is you,alone,by the ruts in the trail she is following,face and head,None of the above
A man is smoking a cigarette and holding a honeycomb .,Who is smoking something?,C,from behind him,a long pole,A man,a ladder,None of the above
A man is smoking a cigarette and holding a honeycomb .,What is someone smoking?,B,near a boxcar,a cigarette,in green and white,for a jump,None of the above
A man is smoking a cigarette and holding a honeycomb .,Who is holding something?,C,A plat,a group of French youth,A man,on a lawn chair,None of the above
A man is smoking a cigarette and holding a honeycomb .,What is someone holding?,C,a cup,A group of people,a honeycomb,a pink and white striped bib,None of the above
A painter is sitting at a street corner and has completed the majority of a painting of the Cafe across the street from himself .,Who is sitting somewhere?,A,A painter,A middle - aged woman with a pink satchel purse,a war reenactment,along a walkway,None of the above
A painter is sitting at a street corner and has completed the majority of a painting of the Cafe across the street from himself .,Where is someone sitting?,D,to drill into a keg of beer,"as "" Teen Wolf """,the rocks,at a street corner,None of the above
A painter is sitting at a street corner and has completed the majority of a painting of the Cafe across the street from himself .,Who has completed something?,B,in a yellow frock,A painter,down a sidewalk,a diagram,None of the above
A painter is sitting at a street corner and has completed the majority of a painting of the Cafe across the street from himself .,What has someone completed?,B,with full energy,the majority of a painting of the Cafe,a director,a science experiment,None of the above
A man in a yellow jacket stands in front of a yellow hutch .,Who stands somewhere?,A,A man,to avoid a leak from a fermentation tank,in a grassy field,he,None of the above
A man in a yellow jacket stands in front of a yellow hutch .,Where does someone stand?,B,a burrito,in front of a yellow hutch,power,from a sifter,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,Who sits somewhere?,D,in the desert,with a pencil and a dictionary,Four women,four men,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,Where does someone sit?,A,on a stage,on a grassy lawn,a big snail,down a sidewalk bordering a stone wall,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,What does someone sit on?,D,the masonry of a wall,a riot,for a cause,a stage,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,How does someone sit somewhere?,B,Two gondolas,playing woodwind instruments,percussion,those drums,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,Who is playing something?,D,Two kids,enjoy the new hospital orientation,inside a building,four men,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,What is someone playing?,C,Fender Stratocaster,Bicycle sportsman,woodwind instruments,paintball splatter,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,Who is looking?,C,in the pictures,A large group of people,four men,while another looks on,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,What is looking?,B,playing woodwind instruments,woodwind instruments,paintball splatter,metal bollards,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,What is someone looking at?,D,the seaside,the stage,board,the four music stands,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,What stands somewhere?,D,to answer a question,a horse,An Asian woman,four music,None of the above
four men sit on a stage playing woodwind instruments looking at the four music stands in front of them which have the words The Thistle on them .,Where does something stand?,C,on a mat,a meal,in front of them,in a queue,None of the above
A man is seen through the window that has intricate detail .,Who is seen?,D,a woman in red and black striped pants,with a fork,"while a middle - eastern band prepares to play keyboard , drums , violin and a mandolin",A man,None of the above
A man is seen through the window that has intricate detail .,Where is someone seen?,C,the drums,in a high rise,through the window,on a very large reel of thick rope,None of the above
A man is seen through the window that has intricate detail .,What is someone seen into?,A,the window,something to eat,at a spa,in front of an overfilled red grocery chart,None of the above
A person is preparing to send a piece of paper through a paper shredder .,Who is preparing to do something?,A,A person,Several young people adults,hard hats and face masks,"keyboard , drums , violin and a mandolin",None of the above
